Wavelength (nm)	KL13 abs N
482.00	0.0097113
483.00	0.0095405
484.00	0.0093020
485.00	0.0092589
486.00	0.0087047
487.00	0.0081439
488.00	0.0076215
489.00	0.0080124
490.00	0.0083171
491.00	0.0081747
492.00	0.0082263
493.00	0.0076513
494.00	0.0078108
495.00	0.0079154
496.00	0.0074847
497.00	0.0073214
498.00	0.0073896
499.00	0.0074956
500.00	0.0069263
501.00	0.0073470
502.00	0.0072301
503.00	0.0065941
504.00	0.0068468
505.00	0.0068458
506.00	0.0061842
507.00	0.0060678
508.00	0.0063901
509.00	0.0059722
510.00	0.0059225
511.00	0.0060342
512.00	0.0059609
513.00	0.0058643
514.00	0.0058070
515.00	0.0058265
516.00	0.0057824
517.00	0.0057238
518.00	0.0054710
519.00	0.0054327
520.00	0.0054502
521.00	0.0058421
522.00	0.0061099
523.00	0.0055302
524.00	0.0054654
525.00	0.0052037
526.00	0.0055278
527.00	0.0050120
528.00	0.0058288
529.00	0.0063376
530.00	0.0057881
531.00	0.0063290
532.00	0.0052524
533.00	0.0052917
534.00	0.0058179
535.00	0.0058137
536.00	0.0059609
537.00	0.0056816
538.00	0.0063243
539.00	0.0063551
540.00	0.0060617
541.00	0.0064133
542.00	0.0063087
543.00	0.0066002
544.00	0.0066201
545.00	0.0066854
546.00	0.0067436
547.00	0.0069703
548.00	0.0069665
549.00	0.0071534
550.00	0.0069594
551.00	0.0073517
552.00	0.0075245
553.00	0.0078624
554.00	0.0081103
555.00	0.0079177
556.00	0.0077743
557.00	0.0081624
558.00	0.0086574
559.00	0.0087416
560.00	0.0086645
561.00	0.0086096
562.00	0.0090161
563.00	0.0094335
564.00	0.0096384
565.00	0.0097520
566.00	0.010099
567.00	0.010346
568.00	0.010515
569.00	0.010352
570.00	0.010548
571.00	0.010915
572.00	0.010965
573.00	0.011171
574.00	0.011510
575.00	0.011661
576.00	0.012055
577.00	0.012501
578.00	0.012663
579.00	0.012848
580.00	0.013389
581.00	0.013743
582.00	0.013953
583.00	0.014155
584.00	0.014947
585.00	0.015308
586.00	0.015559
587.00	0.015890
588.00	0.016475
589.00	0.016676
590.00	0.017467
591.00	0.018093
592.00	0.018552
593.00	0.019014
594.00	0.019289
595.00	0.019731
596.00	0.020283
597.00	0.020988
598.00	0.021300
599.00	0.021842
600.00	0.022242
601.00	0.022856
602.00	0.023418
603.00	0.024168
604.00	0.024561
605.00	0.025174
606.00	0.025741
607.00	0.026362
608.00	0.027114
609.00	0.027803
610.00	0.028549
611.00	0.029191
612.00	0.029918
613.00	0.030641
614.00	0.031289
615.00	0.032165
616.00	0.033011
617.00	0.033960
618.00	0.035019
619.00	0.035834
620.00	0.037062
621.00	0.037495
622.00	0.039081
623.00	0.039942
624.00	0.040994
625.00	0.042005
626.00	0.043214
627.00	0.044483
628.00	0.045512
629.00	0.047176
630.00	0.048252
631.00	0.049716
632.00	0.050868
633.00	0.052603
634.00	0.053979
635.00	0.055113
636.00	0.056657
637.00	0.058209
638.00	0.059448
639.00	0.061204
640.00	0.062729
641.00	0.064127
642.00	0.065902
643.00	0.067598
644.00	0.069345
645.00	0.070561
646.00	0.072463
647.00	0.073696
648.00	0.075534
649.00	0.077127
650.00	0.078676
651.00	0.080281
652.00	0.082131
653.00	0.083718
654.00	0.084954
655.00	0.087076
656.00	0.087705
657.00	0.087283
658.00	0.090562
659.00	0.093427
660.00	0.095094
661.00	0.097351
662.00	0.099250
663.00	0.10101
664.00	0.10324
665.00	0.10513
666.00	0.10682
667.00	0.10915
668.00	0.11156
669.00	0.11344
