Wavelength (nm)	P02 abs N
413.60	0.78897
413.80	0.79362
414.00	0.79756
414.20	0.79958
414.40	0.80304
414.60	0.80594
414.80	0.80860
415.00	0.81106
415.20	0.81420
415.40	0.81854
415.60	0.82118
415.80	0.82408
416.00	0.82571
416.20	0.82911
416.40	0.83279
416.60	0.83571
416.80	0.83877
417.00	0.84198
417.20	0.84483
417.40	0.84741
417.60	0.84960
417.80	0.85238
418.00	0.85606
418.20	0.85860
418.40	0.86161
418.60	0.86460
418.80	0.86714
419.00	0.86977
419.20	0.87322
419.40	0.87516
419.60	0.87811
419.80	0.88051
420.00	0.88350
420.20	0.88596
420.40	0.88900
420.60	0.89136
420.80	0.89377
421.00	0.89648
421.20	0.89962
421.40	0.90185
421.60	0.90391
421.80	0.90643
422.00	0.90899
422.20	0.91149
422.40	0.91396
422.60	0.91626
422.80	0.91851
423.00	0.92039
423.20	0.92342
423.40	0.92547
423.60	0.92768
423.80	0.93060
424.00	0.93223
424.20	0.93408
424.40	0.93662
424.60	0.93922
424.80	0.94123
425.00	0.94287
425.20	0.94494
425.40	0.94633
425.60	0.94849
425.80	0.95027
426.00	0.95225
426.20	0.95415
426.40	0.95600
426.60	0.95764
426.80	0.95885
427.00	0.96020
427.20	0.96297
427.40	0.96476
427.60	0.96673
427.80	0.96766
428.00	0.96865
428.20	0.97117
428.40	0.97223
428.60	0.97426
428.80	0.97522
429.00	0.97670
429.20	0.97864
429.40	0.97910
429.60	0.98066
429.80	0.98261
430.00	0.98360
430.20	0.98423
430.40	0.98572
430.60	0.98702
430.80	0.98785
431.00	0.98914
431.20	0.98968
431.40	0.99073
431.60	0.99153
431.80	0.99191
432.00	0.99246
432.20	0.99246
432.40	0.99483
432.60	0.99522
432.80	0.99610
433.00	0.99667
433.20	0.99747
433.40	0.99780
433.60	0.99814
433.80	0.99840
434.00	0.99816
434.20	0.99849
434.40	0.99911
434.60	0.99923
434.80	0.99877
435.00	0.99863
435.20	0.99813
435.40	0.99852
435.60	1.0000
435.80	0.99973
436.00	0.99877
436.20	0.99842
436.40	0.99754
436.60	0.99856
436.80	0.99852
437.00	0.99852
437.20	0.99754
437.40	0.99749
437.60	0.99647
437.80	0.99579
438.00	0.99509
438.20	0.99529
438.40	0.99429
438.60	0.99434
438.80	0.99279
439.00	0.99286
439.20	0.99182
439.40	0.99085
439.60	0.98973
439.80	0.98867
440.00	0.98760
