Wavelength (nm)	H11 abs N
534.25	0.0018989
534.50	-5.8815e-05
534.75	0.00069738
535.00	0.0016216
535.25	-0.00063016
535.50	0.00039490
535.75	-0.00017644
536.00	0.0011259
536.25	1.6804e-05
536.50	6.7217e-05
536.75	0.0019577
537.00	0.00025206
537.25	0.0019493
537.50	-0.00044531
537.75	0.00029407
538.00	0.0016216
538.25	-8.4021e-05
538.50	0.00031088
538.75	0.00035289
539.00	0.0013023
539.25	0.0015964
539.50	0.0015376
539.75	0.0012939
540.00	0.0026803
540.25	-0.00021005
540.50	0.0010587
540.75	0.0013107
541.00	0.0019997
541.25	0.0014956
541.50	-7.5619e-05
541.75	0.0017728
542.00	0.0011427
542.25	-0.00037810
542.50	0.00051253
542.75	0.0016636
543.00	0.0018569
543.25	-0.00034449
543.50	0.0010671
543.75	0.0027391
544.00	-0.00010083
544.25	0.00051253
544.50	-0.00085702
544.75	0.00048732
545.00	-0.00036969
545.25	0.00093264
545.50	-8.4021e-05
545.75	-2.5206e-05
546.00	-0.00094104
546.25	0.0015544
546.50	0.0015460
546.75	0.00094944
547.00	8.4021e-05
547.25	7.5619e-05
547.50	0.0028903
547.75	-0.00045371
548.00	-0.0011259
548.25	0.0010083
548.50	0.00015124
548.75	0.00098305
549.00	-0.0014788
549.25	-0.00053774
549.50	0.00030248
549.75	0.00049572
550.00	0.0023106
550.25	0.00018485
550.50	-0.0012183
550.75	0.0021173
551.00	-6.7217e-05
551.25	0.00082341
551.50	-0.00042011
551.75	0.0015544
552.00	0.0017392
552.25	0.0018233
552.50	0.0019157
552.75	0.00038650
553.00	0.0022350
553.25	0.0019493
553.50	0.0030080
553.75	-0.00015964
554.00	0.00062176
554.25	0.0025710
554.50	0.0011847
554.75	0.0014536
555.00	0.00042011
555.25	0.0017981
555.50	0.00028567
555.75	0.0011427
556.00	0.0014116
556.25	0.00063856
556.50	0.0021341
556.75	0.0013863
557.00	0.00055454
557.25	0.00015964
557.50	0.0024198
557.75	0.00015124
558.00	0.0011511
558.25	-0.00016804
558.50	0.0021677
558.75	0.0018569
559.00	3.3608e-05
559.25	0.0014536
559.50	0.0015628
559.75	0.0020669
560.00	0.00060495
560.25	0.00093264
560.50	0.00084021
560.75	-0.00078140
561.00	0.0011007
561.25	0.0014872
561.50	0.0015292
561.75	0.0011427
562.00	0.00085702
562.25	0.00019325
562.50	-0.00036129
562.75	0.0018317
563.00	0.00068897
563.25	0.0013443
563.50	0.0015292
563.75	0.0020165
564.00	0.00092423
564.25	-8.4020e-06
564.50	0.00022686
564.75	0.0011427
565.00	0.0023190
565.25	0.0012939
565.50	0.0011763
565.75	0.00075619
566.00	-0.0013611
566.25	-0.00072258
566.50	0.00039490
566.75	-0.00045371
567.00	0.00078980
567.25	0.0012351
567.50	0.00025206
567.75	-0.0012351
568.00	-0.00017644
568.25	-0.00017644
568.50	-0.00082341
568.75	-6.7217e-05
569.00	0.00012603
569.25	0.0011175
569.50	0.0019913
569.75	0.00075619
570.00	0.00031928
570.25	0.0013443
570.50	5.8815e-05
570.75	0.0018149
571.00	0.00015124
571.25	-0.0016384
571.50	-0.0010167
571.75	-0.0020081
572.00	-8.4021e-05
572.25	0.0016300
572.50	2.5206e-05
572.75	0.00032768
573.00	0.0015208
573.25	0.00095784
573.50	0.00062176
573.75	-9.2423e-05
574.00	-0.0010839
574.25	0.00021005
574.50	0.0024198
574.75	-0.00024366
575.00	0.00020165
575.25	0.00062176
575.50	0.0015796
575.75	0.0011427
576.00	0.00025206
576.25	0.0016468
576.50	0.0016048
576.75	0.0010419
577.00	0.0012183
577.25	1.6804e-05
577.50	0.00065537
577.75	-0.00089062
578.00	-0.00032768
578.25	0.00073098
578.50	0.0017476
578.75	0.00017644
579.00	-0.0012099
579.25	0.00095784
579.50	0.00060495
579.75	-1.6804e-05
580.00	0.0014116
580.25	-0.00040330
580.50	0.00087382
580.75	0.0010587
581.00	0.00020165
581.25	0.00019325
581.50	-0.00028567
581.75	0.0014872
582.00	-0.00027727
582.25	0.00015964
582.50	0.00065537
582.75	0.00031088
583.00	0.0010419
583.25	0.0013527
583.50	-0.00084861
583.75	-0.0022770
584.00	0.00045371
584.25	0.00084861
584.50	0.0013443
584.75	0.00095784
585.00	-0.00059655
585.25	-0.00036969
585.50	-0.00094104
585.75	0.00070578
586.00	-0.00060495
586.25	0.0016888
586.50	0.00015964
586.75	-0.00089062
587.00	0.00033608
587.25	0.00099985
587.50	-0.00022686
587.75	-0.00097465
588.00	2.5206e-05
588.25	-0.0029071
588.50	0.00087382
588.75	0.00016804
589.00	-0.0016552
589.25	0.00079820
