Wavelength (nm)	I04 abs N
502.50	0.0067230
502.75	0.0075634
503.00	0.0057318
503.25	0.0055379
503.50	0.0051141
503.75	0.0044102
504.00	0.0047622
504.25	0.0042738
504.50	0.0044174
504.75	0.0038787
505.00	0.0042738
505.25	0.0037782
505.50	0.0066009
505.75	0.0038572
506.00	0.0041445
506.25	0.0038356
506.50	0.0032754
506.75	0.0039649
507.00	0.0039936
507.25	0.0028157
507.50	0.0020328
507.75	0.0026146
508.00	0.0034693
508.25	0.0035268
508.50	0.0026864
508.75	0.0025140
509.00	0.0031317
509.25	0.0029594
509.50	0.0020759
509.75	0.0026721
510.00	0.0037279
510.25	0.0015875
510.50	0.0013217
510.75	0.0028229
511.00	0.00058911
511.25	0.0020184
511.50	0.0019466
511.75	0.0010272
512.00	0.0014438
512.25	0.0023488
512.50	0.0028085
512.75	0.0023560
513.00	0.0016162
513.25	0.0022052
513.50	0.0020544
513.75	0.0013864
514.00	0.0010344
514.25	0.0029594
514.50	0.0026721
514.75	0.0015372
515.00	0.00090514
515.25	0.0015731
515.50	0.00099133
515.75	0.00083331
516.00	0.0016378
516.25	0.0010991
516.50	0.0025643
516.75	0.0016665
517.00	0.0025284
517.25	0.0026074
517.50	0.0020544
517.75	0.0017599
518.00	0.0017742
518.25	0.0025212
518.50	0.0018963
518.75	0.0026577
519.00	0.0024925
519.25	-0.00030153
519.50	0.0020544
519.75	0.00067530
520.00	0.0011709
520.25	0.0011637
520.50	-0.0012712
520.75	0.00094105
521.00	0.0011206
521.25	0.00026589
521.50	0.0010847
521.75	0.0021118
522.00	0.00061784
522.25	0.0014797
522.50	0.00060347
522.75	-0.00039491
523.00	0.00071839
523.25	0.00056756
523.50	0.0010057
523.75	0.0011924
524.00	0.00061065
524.25	0.0034693
524.50	0.00076867
524.75	0.0013289
525.00	0.00088359
525.25	0.00081177
525.50	0.00097697
525.75	0.0018389
526.00	0.00012224
526.25	-0.00061038
526.50	0.0030527
526.75	0.00057474
527.00	0.00097697
527.25	0.00079022
527.50	0.0016018
527.75	0.00027307
528.00	0.00033053
528.25	0.00083331
528.50	0.00086204
528.75	0.0015588
529.00	-0.00068939
529.25	0.00025871
529.50	6.4778e-05
529.75	0.0015516
530.00	0.0012355
530.25	-0.00050983
530.50	0.0019466
530.75	-0.00014352
531.00	0.00075431
531.25	0.00077585
531.50	0.00047418
531.75	0.0016090
532.00	0.00072558
532.25	0.0031030
532.50	0.00078304
532.75	0.00087641
533.00	0.00050292
533.25	0.00065375
533.50	0.0011924
533.75	-0.0025425
534.00	0.00049573
534.25	-0.00046673
534.50	0.0026218
534.75	0.00012942
535.00	0.00027307
535.25	0.00019406
535.50	-7.1691e-05
535.75	0.0016665
536.00	-0.00035899
536.25	0.0011996
536.50	8.6326e-05
536.75	0.00053165
537.00	0.0023057
537.25	0.00075431
537.50	0.00051010
537.75	-0.00020098
538.00	0.00091950
538.25	-2.1413e-05
538.50	0.0017742
538.75	0.00066093
539.00	0.00070403
539.25	0.0013074
539.50	0.0011063
539.75	0.0016665
540.00	0.0011565
540.25	-0.00058884
540.50	0.00048855
540.75	0.00046700
541.00	0.00044545
541.25	-0.00017943
541.50	0.00071121
541.75	-7.0479e-06
542.00	0.0013576
542.25	0.0022698
542.50	0.0011134
542.75	0.00060347
543.00	0.00085486
543.25	0.0013289
543.50	0.0024063
543.75	0.0028588
544.00	0.0018532
544.25	0.00060347
544.50	0.00097697
544.75	2.1683e-05
545.00	0.00019406
545.25	-6.4509e-05
545.50	0.0010272
545.75	0.00021561
546.00	-0.00021534
546.25	0.0020544
546.50	0.0023129
546.75	0.0018676
547.00	-0.0015298
547.25	-0.00028717
547.50	0.0024709
547.75	0.0015228
548.00	0.0026290
548.25	0.00030899
548.50	0.0012643
548.75	-0.00022253
549.00	0.0021765
549.25	-0.00045237
549.50	0.0013145
549.75	7.9143e-05
550.00	7.1961e-05
550.25	0.00032335
550.50	0.00060347
550.75	0.0011206
551.00	0.0011924
551.25	0.0021405
551.50	0.0017742
551.75	-0.00092642
552.00	0.0027008
552.25	0.00021561
552.50	0.0020974
552.75	0.00073994
553.00	0.00053165
553.25	0.0014510
553.50	0.0018892
553.75	0.0018748
554.00	4.3230e-05
554.25	0.0015803
554.50	-0.00065348
554.75	0.00086204
555.00	0.0010129
555.25	0.0021477
555.50	0.0025500
555.75	0.0011924
556.00	0.0024853
556.25	0.00085486
556.50	0.00038081
556.75	0.0012930
557.00	0.0017383
557.25	0.0018245
557.50	-7.8873e-05
557.75	0.0013505
558.00	0.0020615
558.25	0.00015097
558.50	0.0012068
558.75	0.0014510
559.00	0.0019538
559.25	-0.00037336
559.50	0.00099133
559.75	0.0014627
560.00	0.0026649
560.25	0.0010057
560.50	0.00058911
560.75	0.0011063
561.00	0.0016880
561.25	0.0012284
561.50	0.0018892
561.75	0.0029665
562.00	0.00018688
562.25	0.0024638
562.50	0.0021262
562.75	6.4778e-05
563.00	0.0017096
563.25	0.00084050
563.50	0.0021980
563.75	0.00068966
564.00	0.00096978
564.25	0.0018461
564.50	0.0011063
564.75	0.0011134
565.00	0.0015659
565.25	0.0013648
565.50	0.00068966
565.75	0.0031246
566.00	0.0015372
566.25	0.0011709
566.50	-0.00013633
566.75	0.0014582
567.00	0.0018245
567.25	0.0017455
567.50	0.00081177
567.75	0.0040367
568.00	0.00059629
568.25	0.0012858
568.50	-0.00058165
568.75	0.0017024
569.00	0.0019466
569.25	0.0020687
569.50	0.0015875
569.75	0.0015085
570.00	0.00018688
570.25	0.0023560
570.50	-0.0010342
570.75	0.0020328
571.00	0.0022411
571.25	0.00059629
571.50	0.0019753
571.75	-0.00040927
572.00	0.0016378
572.25	0.0024781
572.50	0.0015947
572.75	0.0021836
573.00	-0.00021534
573.25	0.0021262
573.50	-0.00072531
573.75	0.0022411
574.00	0.0020256
574.25	-0.00043082
574.50	0.00086923
574.75	0.0013720
575.00	0.0025643
575.25	0.00061065
575.50	0.0030958
575.75	0.00083331
576.00	0.0034621
576.25	0.00047418
576.50	0.0026792
576.75	-0.00031590
577.00	0.00077585
577.25	0.00091232
577.50	0.0024709
577.75	0.0016593
578.00	0.0016880
578.25	0.00064657
578.50	0.0018748
578.75	0.0019394
579.00	0.0028301
579.25	0.0014941
579.50	0.0011206
579.75	0.00085486
580.00	0.00035208
580.25	0.0022555
580.50	-0.00044519
580.75	0.0014941
581.00	-0.0019320
581.25	0.0022196
581.50	0.00089796
581.75	0.0010560
582.00	0.0018389
582.25	0.0014941
582.50	-0.00013633
582.75	0.0017958
583.00	0.0020903
583.25	0.00080458
583.50	0.00090514
583.75	0.0013074
