Wavelength (nm)	O06 abs N
393.50	0.093227
393.75	0.089321
394.00	0.088865
394.25	0.084241
394.50	0.081380
394.75	0.080066
395.00	0.073575
395.25	0.073575
395.50	0.069721
395.75	0.067749
396.00	0.065500
396.25	0.064111
396.50	0.060451
396.75	0.058427
397.00	0.055909
397.25	0.054886
397.50	0.053840
397.75	0.051390
398.00	0.050031
398.25	0.048783
398.50	0.045280
398.75	0.046117
399.00	0.042539
399.25	0.043032
399.50	0.041979
399.75	0.039813
400.00	0.038939
400.25	0.038311
400.50	0.034308
400.75	0.035346
401.00	0.034681
401.25	0.032963
401.50	0.031574
401.75	0.029191
402.00	0.029445
402.25	0.027809
402.50	0.027264
402.75	0.025389
403.00	0.026778
403.25	0.025068
403.50	0.022237
403.75	0.023335
404.00	0.021079
404.25	0.023185
404.50	0.018457
404.75	0.020302
405.00	0.016911
405.25	0.017673
405.50	0.019540
405.75	0.018412
406.00	0.016933
406.25	0.015791
406.50	0.015103
406.75	0.012243
407.00	0.013116
407.25	0.012579
407.50	0.012168
407.75	0.011436
408.00	0.011824
408.25	0.012937
408.50	0.012228
408.75	0.010920
409.00	0.010263
409.25	0.0095834
409.50	0.010562
409.75	0.0082986
410.00	0.0070214
410.25	0.0078206
410.50	0.0073799
410.75	0.0096133
411.00	0.0061624
411.25	0.0078430
411.50	0.0071932
411.75	0.0086273
412.00	0.0072305
412.25	0.0059084
412.50	0.0046834
412.75	0.0080746
413.00	0.0046460
413.25	0.0065732
413.50	0.0062371
413.75	0.0060428
414.00	0.0057142
414.25	0.0058935
414.50	0.0036899
414.75	0.0037497
415.00	0.0057291
415.25	0.0055947
415.50	0.0035406
415.75	0.0042427
416.00	0.0052585
416.25	0.0031895
416.50	0.0039738
416.75	0.0022782
417.00	0.0036750
417.25	0.0025322
417.50	0.0043398
417.75	0.0041829
418.00	0.0048701
418.25	0.0024874
418.50	0.0017255
418.75	0.0036078
419.00	0.0026890
419.25	0.0039439
419.50	0.0027936
419.75	0.0024948
420.00	0.0038692
420.25	0.0033165
420.50	0.0028459
420.75	0.0033837
421.00	0.0031148
421.25	0.0026517
421.50	0.0024500
421.75	-0.00020168
422.00	0.0034360
422.25	0.0028608
422.50	0.0027712
422.75	0.0016433
423.00	0.0016209
423.25	0.0014566
423.50	0.0022259
423.75	0.0018823
424.00	0.0035107
424.25	0.00085153
424.50	0.0023678
424.75	0.0015537
425.00	0.0025322
425.25	0.0024874
425.50	0.0025322
425.75	0.0024500
426.00	0.0012549
426.25	0.0015686
426.50	0.00041082
426.75	0.0012997
427.00	0.0014267
427.25	0.0015088
427.50	0.0012698
427.75	0.0040261
428.00	0.0017329
428.25	0.00094116
428.50	0.0022857
428.75	0.0010906
429.00	0.00093369
429.25	0.00092622
429.50	-0.00050046
429.75	0.0018450
430.00	0.0032044
430.25	0.00067226
430.50	0.0024500
430.75	0.00067226
431.00	0.00078430
431.25	0.0012623
431.50	0.0012250
431.75	0.0029579
432.00	0.0025994
432.25	0.0017852
432.50	0.0013370
432.75	0.0012101
433.00	0.00050793
433.25	2.9878e-05
433.50	0.00049299
433.75	0.00070214
434.00	0.0015686
434.25	0.00093369
434.50	0.0020392
434.75	0.0010233
435.00	0.0019197
435.25	0.00097851
435.50	0.00085900
435.75	0.0019346
436.00	0.0014864
436.25	0.00099345
436.50	0.0026367
436.75	0.0018450
437.00	0.00070214
437.25	0.00061997
437.50	0.0011802
437.75	0.0023753
438.00	0.0032194
438.25	0.0014566
438.50	0.0019720
438.75	0.00038842
439.00	0.0020466
439.25	0.00042576
439.50	0.0022707
439.75	0.0023454
440.00	0.0024127
440.25	0.00088140
440.50	0.0025845
440.75	0.0016806
441.00	6.7226e-05
441.25	0.0021288
441.50	0.00099345
441.75	0.00082165
442.00	0.00054528
442.25	0.0014640
442.50	0.0015313
442.75	0.0011802
443.00	0.0026367
443.25	0.0017479
443.50	0.00071707
443.75	0.0013744
444.00	0.0014566
444.25	-5.9756e-05
444.50	-0.00017927
444.75	0.0026143
445.00	0.00091128
445.25	0.0020466
445.50	0.0020840
445.75	0.0028758
446.00	0.0015686
446.25	0.0014640
446.50	0.0013221
446.75	0.0025172
447.00	0.0019271
447.25	0.0011055
447.50	0.0038543
447.75	0.0017105
448.00	0.0015985
448.25	0.00029878
448.50	0.0012623
448.75	0.0016284
449.00	0.0033837
449.25	0.0013146
449.50	-8.2165e-05
449.75	0.0026218
450.00	0.0015611
450.25	0.0012250
450.50	0.00076936
450.75	0.0010308
451.00	0.00092622
451.25	0.0024799
451.50	0.00096357
451.75	0.0035331
452.00	0.0016433
452.25	0.0019346
452.50	0.0025322
452.75	0.0013146
453.00	0.00017180
453.25	0.00058262
453.50	-0.00018674
453.75	0.0013595
