Wavelength (nm)	K18 ems
730.50	0.12700
731.00	0.12516
731.50	0.12110
732.00	0.12218
732.50	0.11880
733.00	0.11722
733.50	0.11504
734.00	0.11440
734.50	0.11403
735.00	0.11175
735.50	0.10957
736.00	0.10915
736.50	0.10810
737.00	0.10741
737.50	0.10353
738.00	0.10313
738.50	0.10340
739.00	0.10097
739.50	0.098575
740.00	0.097676
740.50	0.097082
741.00	0.094781
741.50	0.093088
742.00	0.093988
742.50	0.092542
743.00	0.090349
743.50	0.090565
744.00	0.088722
744.50	0.087259
745.00	0.085942
745.50	0.084869
746.00	0.082796
746.50	0.082739
747.00	0.081549
747.50	0.080948
748.00	0.079558
748.50	0.078584
749.00	0.077427
749.50	0.075830
750.00	0.074692
750.50	0.074450
751.00	0.073467
751.50	0.071559
752.00	0.071331
752.50	0.069846
753.00	0.069205
753.50	0.067976
754.00	0.066763
754.50	0.065718
755.00	0.064953
755.50	0.064792
756.00	0.064061
756.50	0.063932
757.00	0.061767
757.50	0.060292
758.00	0.061449
758.50	0.059754
759.00	0.057979
759.50	0.058466
760.00	0.057601
760.50	0.056874
761.00	0.056838
761.50	0.054330
762.00	0.055067
762.50	0.053024
763.00	0.054546
763.50	0.051533
764.00	0.052983
764.50	0.051972
765.00	0.050205
765.50	0.050634
766.00	0.049917
766.50	0.049071
767.00	0.048738
767.50	0.047285
768.00	0.047452
768.50	0.047148
769.00	0.046807
769.50	0.044859
770.00	0.045040
770.50	0.045060
771.00	0.044061
771.50	0.044523
772.00	0.043450
772.50	0.042142
773.00	0.042107
773.50	0.042714
774.00	0.040711
774.50	0.040783
775.00	0.039730
775.50	0.040513
776.00	0.039509
776.50	0.039424
777.00	0.038576
777.50	0.038658
778.00	0.037472
778.50	0.037281
779.00	0.036330
779.50	0.035851
780.00	0.035868
780.50	0.035293
781.00	0.035732
781.50	0.035236
782.00	0.034379
782.50	0.033780
783.00	0.033474
783.50	0.033102
784.00	0.032628
784.50	0.032459
785.00	0.031967
785.50	0.033151
786.00	0.032032
786.50	0.031241
787.00	0.030815
787.50	0.030353
788.00	0.029839
788.50	0.029469
789.00	0.029779
789.50	0.029190
790.00	0.028722
790.50	0.028760
791.00	0.026913
791.50	0.028405
792.00	0.027104
792.50	0.026740
793.00	0.026608
793.50	0.026245
794.00	0.025679
794.50	0.025637
795.00	0.025743
795.50	0.024389
796.00	0.025068
796.50	0.024327
797.00	0.024263
797.50	0.024880
798.00	0.023403
798.50	0.024200
799.00	0.024147
799.50	0.023615
800.00	0.022692
