Wavelength (nm)	C02 abs N
412.50	0.0021957
412.75	0.0024457
413.00	0.0019534
413.25	0.0030864
413.50	0.0012815
413.75	0.0013518
414.00	0.0034302
414.25	0.0018128
414.50	0.0040006
414.75	0.0031958
415.00	0.00074230
415.25	0.0017737
415.50	0.0013752
415.75	0.0029301
416.00	0.0030786
416.25	-0.00052352
416.50	0.00085170
416.75	0.0023910
417.00	0.0010705
417.25	0.0014924
417.50	0.0017893
417.75	0.0017503
418.00	0.0012033
418.25	0.0020003
418.50	0.0023050
418.75	0.0016956
419.00	0.0029380
419.25	0.0013361
419.50	0.0026645
419.75	0.0017346
420.00	0.0020863
420.25	0.0027739
420.50	0.00096890
420.75	0.0016800
421.00	0.00024223
421.25	0.0013205
421.50	0.0023207
421.75	0.0030630
422.00	0.0021175
422.25	0.0019300
422.50	0.0016487
422.75	0.0023832
423.00	0.0027348
423.25	0.0029927
423.50	0.0020238
423.75	0.0028364
424.00	0.0017425
424.25	-0.00042975
424.50	0.0038053
424.75	0.00064854
425.00	0.0019612
425.25	0.0019456
425.50	0.0024769
425.75	0.0021957
426.00	0.0022660
426.25	0.0021878
426.50	0.0020238
426.75	0.0033755
427.00	0.00045320
427.25	0.0019769
427.50	0.0018206
427.75	0.0018284
428.00	0.0024379
428.25	0.0016018
428.50	0.0023363
428.75	0.0010158
429.00	0.0022113
429.25	0.00089076
429.50	0.00093765
429.75	0.0011721
430.00	0.0010080
430.25	0.0021175
430.50	0.00012502
430.75	0.0019769
431.00	0.0018206
431.25	0.0032036
431.50	0.0018050
431.75	0.0010549
432.00	0.0020706
432.25	6.2510e-05
432.50	0.00089076
432.75	0.0011877
433.00	0.00024223
433.25	0.0011486
433.50	0.0025942
433.75	0.00042194
434.00	0.0013752
434.25	0.0012346
434.50	0.00024223
434.75	0.0022816
435.00	0.00057040
435.25	0.0033912
435.50	0.0015706
435.75	0.0016643
436.00	0.0029145
436.25	0.0036178
436.50	0.0022269
436.75	0.0018362
437.00	0.0021019
437.25	0.0024769
437.50	0.0032427
437.75	8.5951e-05
438.00	0.0024301
438.25	0.0023363
438.50	0.00039850
438.75	0.0011252
439.00	0.0016253
439.25	0.0023676
439.50	0.00095327
439.75	0.0022113
440.00	0.0021566
440.25	0.0015315
440.50	-0.00010158
440.75	0.0017893
441.00	0.0027426
441.25	0.0021644
441.50	0.0010470
441.75	0.0016409
442.00	0.00079700
442.25	0.0011721
442.50	0.0021488
442.75	0.00088295
443.00	0.00099234
443.25	0.0018675
443.50	0.0027035
443.75	0.0028208
444.00	0.00021097
444.25	0.0021566
444.50	0.00064854
444.75	0.0019144
445.00	0.0018440
445.25	0.00084388
445.50	0.00031255
445.75	0.0020550
446.00	0.00090639
446.25	0.0015471
446.50	0.0023597
446.75	0.0016565
447.00	0.0015237
447.25	0.0010627
447.50	0.0011408
447.75	-0.00059384
448.00	0.0012268
448.25	0.0017815
448.50	0.0014924
448.75	0.0015159
449.00	0.0014924
449.25	0.0017972
449.50	0.00061728
449.75	0.00068761
450.00	0.0025316
