Wavelength (nm)	S09 abs N
405.06	0.12860
405.25	0.12675
405.44	0.12580
405.63	0.12617
405.81	0.12607
406.00	0.12724
406.19	0.12386
406.38	0.12574
406.56	0.12367
406.75	0.12518
406.94	0.12690
407.13	0.12771
407.31	0.12539
407.50	0.12437
407.69	0.12600
407.88	0.12640
408.06	0.12670
408.25	0.12139
408.44	0.12483
408.63	0.12532
408.81	0.12647
409.00	0.12460
409.19	0.12585
409.38	0.12472
409.56	0.12228
409.75	0.12206
409.94	0.12079
410.13	0.12184
410.31	0.12290
410.50	0.12362
410.69	0.12155
410.88	0.12307
411.06	0.12361
411.25	0.11867
411.44	0.12241
411.63	0.12283
411.81	0.12102
412.00	0.12141
412.19	0.12216
412.38	0.12163
412.56	0.12159
412.75	0.12042
412.94	0.11880
413.13	0.11967
413.31	0.12132
413.50	0.12195
413.69	0.11785
413.88	0.11983
414.06	0.12186
414.25	0.11760
414.44	0.11753
414.63	0.11979
414.81	0.11788
415.00	0.11780
415.19	0.11746
415.38	0.11641
415.56	0.11806
415.75	0.11783
415.94	0.11804
416.13	0.11905
416.31	0.11917
416.50	0.11794
416.69	0.11608
416.88	0.11745
417.06	0.11720
417.25	0.11613
417.44	0.11390
417.63	0.11620
417.81	0.11616
418.00	0.11644
418.19	0.11554
418.38	0.11563
418.56	0.11404
418.75	0.11535
418.94	0.11438
419.13	0.11294
419.31	0.11290
419.50	0.11535
419.69	0.11372
419.88	0.11457
420.06	0.11146
420.25	0.11269
420.44	0.11399
420.63	0.10996
420.81	0.11215
421.00	0.11201
421.19	0.11045
421.38	0.11088
421.56	0.11172
421.75	0.11122
421.94	0.11285
422.13	0.10933
422.31	0.10861
422.50	0.10902
422.69	0.10943
422.88	0.11034
423.06	0.10850
423.25	0.10982
423.44	0.10805
423.63	0.10946
423.81	0.10836
424.00	0.10821
424.19	0.10653
424.38	0.10647
424.56	0.10503
424.75	0.10700
424.94	0.10760
425.13	0.10513
425.31	0.10504
425.50	0.10429
425.69	0.10526
425.88	0.10430
426.06	0.10410
426.25	0.10204
426.44	0.10319
426.63	0.10190
426.81	0.10400
427.00	0.10160
427.19	0.10189
427.38	0.10292
427.56	0.10076
427.75	0.10079
427.94	0.10038
428.13	0.10046
428.31	0.10036
428.50	0.10139
428.69	0.097954
428.88	0.098826
429.06	0.096814
429.25	0.10038
429.44	0.099291
429.63	0.097820
429.81	0.097584
430.00	0.096852
430.19	0.095960
430.38	0.094369
430.56	0.095553
430.75	0.095508
430.94	0.094146
431.13	0.093050
431.31	0.094489
431.50	0.093159
431.69	0.091720
431.88	0.092114
432.06	0.091191
432.25	0.092044
432.44	0.091382
432.63	0.090631
432.81	0.087294
433.00	0.088498
433.19	0.090382
433.38	0.087676
433.56	0.089727
433.75	0.086562
433.94	0.087351
434.13	0.087288
434.31	0.086097
434.50	0.083747
434.69	0.082862
434.88	0.084594
435.06	0.083766
435.25	0.082888
435.44	0.082295
435.63	0.084269
435.81	0.081245
436.00	0.081850
436.19	0.080576
436.38	0.079869
436.56	0.078991
436.75	0.081022
436.94	0.080525
437.13	0.079341
437.31	0.079545
437.50	0.077265
437.69	0.077061
437.88	0.078411
438.06	0.077940
438.25	0.077704
438.44	0.077119
438.63	0.075915
438.81	0.077762
439.00	0.076864
439.19	0.078488
439.38	0.073941
439.56	0.075297
439.75	0.074743
439.94	0.074743
440.13	0.073846
440.31	0.074317
440.50	0.071808
440.69	0.075055
440.88	0.076456
441.06	0.073132
441.25	0.072897
441.44	0.072273
441.63	0.073362
441.81	0.071942
442.00	0.071566
442.19	0.070999
442.38	0.072547
442.56	0.069668
442.75	0.071916
442.94	0.071872
443.13	0.069917
443.31	0.068344
443.50	0.070050
443.69	0.069923
443.88	0.069885
444.06	0.068478
444.25	0.067542
444.44	0.069528
444.63	0.068318
444.81	0.065956
445.00	0.067586
445.19	0.067924
445.38	0.064447
445.56	0.065880
445.75	0.065950
445.94	0.065701
446.13	0.065313
446.31	0.065173
446.50	0.064090
446.69	0.064256
446.88	0.064912
447.06	0.063734
447.25	0.061359
447.44	0.063651
447.63	0.063422
447.81	0.062288
448.00	0.061664
448.19	0.060645
448.38	0.060028
448.56	0.060162
448.75	0.058786
448.94	0.058863
449.13	0.059327
449.31	0.058621
449.50	0.057334
449.69	0.056538
449.88	0.055787
450.06	0.055927
450.25	0.054507
450.44	0.056131
450.63	0.055704
450.81	0.055303
451.00	0.054431
451.19	0.054571
451.38	0.052953
451.56	0.052317
451.75	0.052355
451.94	0.050948
452.13	0.051833
452.31	0.049789
452.50	0.051871
452.69	0.050031
452.88	0.050349
453.06	0.048687
453.25	0.047477
453.44	0.048190
453.63	0.048165
453.81	0.047318
454.00	0.046834
454.19	0.045713
454.38	0.045611
454.56	0.045376
454.75	0.045140
454.94	0.044211
455.13	0.043300
455.31	0.044249
455.50	0.042192
455.69	0.042504
455.88	0.041555
456.06	0.043039
456.25	0.041625
456.44	0.040829
456.63	0.039588
456.81	0.040740
457.00	0.037907
457.19	0.039779
457.38	0.038047
457.56	0.038868
457.75	0.038384
457.94	0.037830
458.13	0.036557
458.31	0.036213
458.50	0.035742
458.69	0.034557
458.88	0.033035
459.06	0.034958
459.25	0.034334
459.44	0.034054
459.63	0.032851
459.81	0.032048
460.00	0.031966
460.19	0.033010
460.38	0.030864
460.56	0.030456
460.75	0.030278
460.94	0.031717
461.13	0.029985
461.31	0.029126
461.50	0.030476
461.69	0.029705
461.88	0.029673
462.06	0.027699
462.25	0.028056
462.44	0.027935
462.63	0.027355
462.81	0.028100
463.00	0.025636
463.19	0.025280
463.38	0.026871
463.56	0.025853
463.75	0.025980
463.94	0.025330
464.13	0.025604
464.31	0.024025
464.50	0.024006
464.69	0.025490
464.88	0.024636
465.06	0.024445
465.25	0.022962
465.44	0.022007
465.63	0.024439
465.81	0.024318
