Wavelength (nm)	F06 abs N
332.00	0.00077203
332.25	1.2252e-05
332.50	0.0046751
332.75	0.0023835
333.00	0.0039398
333.25	0.0014522
333.50	-7.3528e-05
333.75	0.0033516
334.00	0.0021507
334.25	0.0016727
334.50	0.0028431
334.75	-0.00025735
335.00	0.0015747
335.25	-0.00042278
335.50	0.0030514
335.75	0.00071689
336.00	0.0043320
336.25	0.0030024
336.50	-0.0015625
336.75	0.00047180
337.00	-0.0016115
337.25	0.0026776
337.50	0.0012009
337.75	0.0010049
338.00	-0.00063724
338.25	0.00049631
338.50	-0.00073527
338.75	0.00082106
339.00	-0.0039644
339.25	-9.8034e-05
339.50	-0.0015563
339.75	-0.0017892
340.00	-0.00071689
340.25	0.0012867
340.50	-0.00066787
340.75	0.00072302
341.00	0.00077204
341.25	-0.0010049
341.50	0.0011948
341.75	-0.00020220
342.00	-0.00049631
342.25	0.00039215
342.50	0.0011642
342.75	0.0035661
343.00	0.0012500
343.25	0.0017585
343.50	0.00078429
343.75	0.00020220
344.00	-0.00083944
344.25	-0.0015257
344.50	0.0033884
344.75	0.00012255
345.00	-0.00024509
345.25	-9.8034e-05
345.50	0.00052695
345.75	0.0011274
346.00	0.00020220
346.25	0.00096198
346.50	0.0020343
346.75	-4.2891e-05
347.00	7.3526e-05
347.25	0.0012255
347.50	0.0013357
347.75	0.0021323
348.00	0.0033455
348.25	0.0019975
348.50	0.00064337
348.75	0.0030698
349.00	0.0019056
349.25	0.00034313
349.50	0.0012255
349.75	-0.00067400
350.00	0.0023774
