Wavelength (nm)	N02 abs N	N02 abs e
479.00	0.38198	28648
480.00	0.39156	29367
481.00	0.40327	30246
482.00	0.41777	31332
483.00	0.43436	32577
484.00	0.45255	33941
485.00	0.48263	36197
486.00	0.50059	37544
487.00	0.51786	38839
488.00	0.54954	41215
489.00	0.58670	44003
490.00	0.62095	46571
491.00	0.65829	49372
492.00	0.69735	52301
493.00	0.73713	55285
494.00	0.77636	58227
495.00	0.81462	61096
496.00	0.85449	64087
497.00	0.88779	66585
498.00	0.92113	69085
499.00	0.94810	71108
500.00	0.96871	72653
501.00	0.98710	74033
502.00	1.0000	75003
503.00	0.99651	74738
504.00	0.98440	73830
505.00	0.96817	72613
506.00	0.94060	70545
507.00	0.90851	68138
508.00	0.86776	65082
509.00	0.81764	61323
510.00	0.76846	57634
511.00	0.71584	53688
512.00	0.65772	49329
513.00	0.59867	44900
514.00	0.54004	40503
515.00	0.48264	36198
516.00	0.42691	32018
517.00	0.37617	28213
518.00	0.32773	24580
519.00	0.28311	21233
520.00	0.24482	18362
521.00	0.21005	15754
522.00	0.17831	13373
523.00	0.15044	11283
524.00	0.12705	9528.5
525.00	0.10735	8051.5
526.00	0.089513	6713.5
527.00	0.075597	5669.7
528.00	0.062938	4720.4
529.00	0.052156	3911.7
530.00	0.043382	3253.7
531.00	0.036200	2715.0
532.00	0.030146	2260.9
533.00	0.025129	1884.7
534.00	0.020937	1570.3
535.00	0.017542	1315.6
536.00	0.015148	1136.1
537.00	0.013106	982.93
538.00	0.010811	810.80
539.00	0.0091376	685.32
540.00	0.0075712	567.84
541.00	0.0071841	538.81
542.00	0.0062577	469.33
543.00	0.0054767	410.75
544.00	0.0047018	352.63
545.00	0.0046674	350.05
546.00	0.0042615	319.61
547.00	0.0038211	286.58
548.00	0.0034414	258.11
549.00	0.0032325	242.44
550.00	0.0030877	231.58
551.00	0.0031543	236.57
552.00	0.0028322	212.41
553.00	0.0026032	195.24
554.00	0.0021824	163.68
555.00	0.0024646	184.85
556.00	0.0024465	183.49
557.00	0.0020664	154.98
558.00	0.0022388	167.91
559.00	0.0021496	161.22
560.00	0.0021942	164.57
561.00	0.0021500	161.25
562.00	0.0020332	152.49
563.00	0.0019342	145.07
564.00	0.0019887	149.15
565.00	0.0019060	142.95
566.00	0.0018814	141.11
567.00	0.0019120	143.40
568.00	0.0020909	156.82
569.00	0.0020130	150.97
570.00	0.0020108	150.81
571.00	0.0020026	150.19
572.00	0.0017576	131.82
573.00	0.0018574	139.31
574.00	0.0018010	135.08
575.00	0.0017474	131.06
