Wavelength (nm)	Q29 abs  N
734.00	0.0017116
735.00	0.0017488
736.00	0.0017116
737.00	0.0017934
738.00	0.0017637
739.00	0.0017637
740.00	0.0017711
741.00	0.0018306
742.00	0.0018976
743.00	0.0018827
744.00	0.0019199
745.00	0.0018679
746.00	0.0018530
747.00	0.0018902
748.00	0.0019646
749.00	0.0019572
750.00	0.0019497
751.00	0.0019869
752.00	0.0018530
753.00	0.0018827
754.00	0.0019051
755.00	0.0018753
756.00	0.0019125
757.00	0.0018902
758.00	0.0019274
759.00	0.0018902
760.00	0.0020092
761.00	0.0020092
762.00	0.0020167
763.00	0.0020613
764.00	0.0020241
765.00	0.0019051
766.00	0.0020167
767.00	0.0019720
768.00	0.0019869
769.00	0.0018976
770.00	0.0018679
771.00	0.0018306
772.00	0.0017488
773.00	0.0017190
774.00	0.0017041
775.00	0.0017488
776.00	0.0016967
777.00	0.0016297
778.00	0.0015851
779.00	0.0016074
780.00	0.0016446
781.00	0.0017562
782.00	0.0015702
783.00	0.0015404
784.00	0.0014437
785.00	0.0014511
786.00	0.0013544
787.00	0.0013321
788.00	0.0012948
789.00	0.0013097
790.00	0.0012800
791.00	0.0013023
792.00	0.0011832
793.00	0.0011758
794.00	0.0011014
795.00	0.00095253
796.00	0.00094509
797.00	0.00093765
798.00	0.00087067
799.00	0.00080370
800.00	0.00084091
