Wavelength (nm)	R06 abs N
420.50	0.12037
420.75	0.11940
421.00	0.11959
421.25	0.11621
421.50	0.11759
421.75	0.11836
422.00	0.11613
422.25	0.11664
422.50	0.11387
422.75	0.11628
423.00	0.11570
423.25	0.11493
423.50	0.11510
423.75	0.11493
424.00	0.11557
424.25	0.11507
424.50	0.11453
424.75	0.11353
425.00	0.11265
425.25	0.11440
425.50	0.11353
425.75	0.11404
426.00	0.11189
426.25	0.11120
426.50	0.11336
426.75	0.11307
427.00	0.11039
427.25	0.11258
427.50	0.10976
427.75	0.11126
428.00	0.11184
428.25	0.11188
428.50	0.11296
428.75	0.11136
429.00	0.10988
429.25	0.11148
429.50	0.11233
429.75	0.11008
430.00	0.10973
430.25	0.11024
430.50	0.10924
430.75	0.10995
431.00	0.10953
431.25	0.11010
431.50	0.10953
431.75	0.10900
432.00	0.10828
432.25	0.11039
432.50	0.11049
432.75	0.10977
433.00	0.10941
433.25	0.10953
433.50	0.10888
433.75	0.10776
434.00	0.10948
434.25	0.11054
434.50	0.10880
434.75	0.10957
435.00	0.11026
435.25	0.11056
435.50	0.10986
435.75	0.10800
436.00	0.11090
436.25	0.11006
436.50	0.10796
436.75	0.10913
437.00	0.10969
437.25	0.10860
437.50	0.11117
437.75	0.11072
438.00	0.11113
438.25	0.11012
438.50	0.11059
438.75	0.10919
439.00	0.11134
439.25	0.11058
439.50	0.11143
439.75	0.10946
440.00	0.11052
440.25	0.11162
440.50	0.11179
440.75	0.11099
441.00	0.11051
441.25	0.11111
441.50	0.11012
441.75	0.11094
442.00	0.11009
442.25	0.11136
442.50	0.11199
442.75	0.11193
443.00	0.11198
443.25	0.11229
443.50	0.11410
443.75	0.11212
444.00	0.11349
444.25	0.11258
444.50	0.11192
444.75	0.11608
445.00	0.11310
445.25	0.11423
445.50	0.11414
445.75	0.11275
446.00	0.11477
446.25	0.11543
446.50	0.11500
446.75	0.11434
447.00	0.11597
447.25	0.11664
447.50	0.11707
447.75	0.11684
448.00	0.11656
448.25	0.11692
448.50	0.11653
448.75	0.11773
449.00	0.11721
449.25	0.11832
449.50	0.11996
449.75	0.11765
450.00	0.11781
450.25	0.11933
450.50	0.11958
450.75	0.12059
451.00	0.12153
451.25	0.12053
451.50	0.12252
451.75	0.12278
452.00	0.12197
452.25	0.12040
452.50	0.11957
452.75	0.12232
453.00	0.12332
453.25	0.12324
453.50	0.12261
453.75	0.12344
454.00	0.12267
454.25	0.12429
454.50	0.12314
454.75	0.12372
455.00	0.12208
455.25	0.12459
455.50	0.12416
455.75	0.12641
456.00	0.12461
456.25	0.12556
456.50	0.12816
456.75	0.12795
457.00	0.12768
457.25	0.12606
457.50	0.12817
457.75	0.12836
458.00	0.12774
458.25	0.13032
458.50	0.12952
458.75	0.12979
459.00	0.13100
459.25	0.13185
459.50	0.13125
459.75	0.13167
460.00	0.13198
460.25	0.13099
460.50	0.13354
460.75	0.13279
461.00	0.13338
461.25	0.13235
461.50	0.13447
461.75	0.13504
462.00	0.13432
462.25	0.13751
462.50	0.13491
462.75	0.13665
463.00	0.13599
463.25	0.13758
463.50	0.13724
463.75	0.13875
464.00	0.13957
464.25	0.13935
464.50	0.14095
464.75	0.13972
465.00	0.14036
465.25	0.13996
465.50	0.14364
465.75	0.14215
466.00	0.14362
466.25	0.14399
466.50	0.14275
