Wavelength (nm)	O02 abs N
461.50	0.23242
461.75	0.22918
462.00	0.22669
462.25	0.22182
462.50	0.21975
462.75	0.21727
463.00	0.21455
463.25	0.21130
463.50	0.20830
463.75	0.20915
464.00	0.20416
464.25	0.20232
464.50	0.19848
464.75	0.19765
465.00	0.19371
465.25	0.19145
465.50	0.18975
465.75	0.18723
466.00	0.18421
466.25	0.18082
466.50	0.17941
466.75	0.17851
467.00	0.17413
467.25	0.17404
467.50	0.16812
467.75	0.16876
468.00	0.16558
468.25	0.16294
468.50	0.16046
468.75	0.15865
469.00	0.15564
469.25	0.15341
469.50	0.15232
469.75	0.14951
470.00	0.14713
470.25	0.14535
470.50	0.14261
470.75	0.13993
471.00	0.13781
471.25	0.13707
471.50	0.13348
471.75	0.13108
472.00	0.13042
472.25	0.12811
472.50	0.12615
472.75	0.12316
473.00	0.12304
473.25	0.12044
473.50	0.11880
473.75	0.11703
474.00	0.11468
474.25	0.11304
474.50	0.11147
474.75	0.11121
475.00	0.10718
475.25	0.10451
475.50	0.10311
475.75	0.10058
476.00	0.098843
476.25	0.097247
476.50	0.096914
476.75	0.096489
477.00	0.092780
477.25	0.090772
477.50	0.090687
477.75	0.087946
478.00	0.087397
478.25	0.085755
478.50	0.082851
478.75	0.083702
479.00	0.081334
479.25	0.080117
479.50	0.079535
479.75	0.079254
480.00	0.078201
480.25	0.076396
480.50	0.072608
480.75	0.072537
481.00	0.071503
481.25	0.070666
481.50	0.068710
481.75	0.066820
482.00	0.066552
482.25	0.065335
482.50	0.065525
482.75	0.064890
483.00	0.062340
483.25	0.061306
483.50	0.062300
483.75	0.058945
484.00	0.058350
484.25	0.058297
484.50	0.056721
484.75	0.056911
485.00	0.053379
485.25	0.052293
485.50	0.052914
485.75	0.052548
486.00	0.050965
486.25	0.051161
486.50	0.049382
486.75	0.049664
487.00	0.048369
487.25	0.046282
487.50	0.046661
487.75	0.046550
488.00	0.045556
488.25	0.045922
488.50	0.044941
488.75	0.042554
489.00	0.042502
489.25	0.041933
489.50	0.040971
489.75	0.040539
490.00	0.040755
490.25	0.040304
490.50	0.039787
490.75	0.038034
491.00	0.039355
491.25	0.036890
491.50	0.037158
491.75	0.036798
492.00	0.036118
492.25	0.034385
492.50	0.033881
492.75	0.033449
493.00	0.032056
493.25	0.033789
493.50	0.034659
493.75	0.033384
494.00	0.032396
494.25	0.032579
494.50	0.032455
494.75	0.031297
495.00	0.030342
495.25	0.030218
495.50	0.030310
495.75	0.030231
496.00	0.029047
496.25	0.029819
496.50	0.029773
496.75	0.029839
497.00	0.028766
497.25	0.029374
497.50	0.026536
497.75	0.028485
498.00	0.027654
498.25	0.024443
498.50	0.027000
498.75	0.025129
499.00	0.026680
499.25	0.025502
499.50	0.024652
499.75	0.026909
500.00	0.024246
500.25	0.024358
500.50	0.023939
500.75	0.023049
501.00	0.024142
501.25	0.024031
501.50	0.022565
501.75	0.022807
502.00	0.022631
502.25	0.024502
502.50	0.023265
502.75	0.021395
503.00	0.022827
503.25	0.023161
503.50	0.021604
503.75	0.023704
504.00	0.021754
504.25	0.021637
504.50	0.022415
504.75	0.022153
505.00	0.021022
505.25	0.021336
505.50	0.022108
505.75	0.021283
506.00	0.021768
506.25	0.021964
506.50	0.022225
506.75	0.021113
507.00	0.018948
507.25	0.021270
507.50	0.021604
507.75	0.021283
508.00	0.021270
508.25	0.019544
508.50	0.019413
508.75	0.019727
509.00	0.020100
509.25	0.018988
509.50	0.021768
509.75	0.019825
510.00	0.019766
510.25	0.018294
510.50	0.017241
510.75	0.021048
511.00	0.020119
511.25	0.017791
511.50	0.018818
511.75	0.018242
512.00	0.019334
512.25	0.018798
512.50	0.019478
512.75	0.017673
513.00	0.019714
513.25	0.019511
513.50	0.017202
513.75	0.019001
514.00	0.019027
514.25	0.019007
514.50	0.018137
514.75	0.017732
515.00	0.017634
515.25	0.018425
515.50	0.018451
515.75	0.015155
516.00	0.016509
516.25	0.018484
516.50	0.018981
516.75	0.016999
517.00	0.018916
517.25	0.017967
517.50	0.017882
517.75	0.017882
518.00	0.017084
518.25	0.017725
518.50	0.018307
518.75	0.019275
519.00	0.016803
519.25	0.017058
519.50	0.019243
519.75	0.017621
520.00	0.018641
520.25	0.019334
520.50	0.016829
520.75	0.016940
521.00	0.015475
521.25	0.017581
521.50	0.014638
521.75	0.018216
522.00	0.016757
522.25	0.016947
522.50	0.017431
522.75	0.017202
523.00	0.018837
523.25	0.017032
523.50	0.015580
523.75	0.017065
524.00	0.017895
524.25	0.017274
524.50	0.018432
524.75	0.017143
525.00	0.017523
525.25	0.017346
525.50	0.017091
525.75	0.017333
526.00	0.017215
526.25	0.016594
526.50	0.017411
526.75	0.016797
527.00	0.015011
527.25	0.016116
527.50	0.016005
527.75	0.014756
528.00	0.016476
528.25	0.016705
528.50	0.016797
528.75	0.018831
529.00	0.015449
529.25	0.018608
529.50	0.017045
