Wavelength (nm)	D05 abs N
351.25	0.48513
351.50	0.46554
351.75	0.44326
352.00	0.42677
352.25	0.40486
352.50	0.38199
352.75	0.35545
353.00	0.33611
353.25	0.30946
353.50	0.29097
353.75	0.26518
354.00	0.24660
354.25	0.22502
354.50	0.20493
354.75	0.18803
355.00	0.17284
355.25	0.15619
355.50	0.14199
355.75	0.12901
356.00	0.11708
356.25	0.10469
356.50	0.095425
356.75	0.087222
357.00	0.076104
357.25	0.071799
357.50	0.063376
357.75	0.058669
358.00	0.053668
358.25	0.048984
358.50	0.044288
358.75	0.041780
359.00	0.035223
359.25	0.036138
359.50	0.032509
359.75	0.027592
360.00	0.026082
360.25	0.027656
360.50	0.024561
360.75	0.023436
361.00	0.024938
361.25	0.018085
361.50	0.019586
361.75	0.016109
362.00	0.015024
362.25	0.016714
362.50	0.017141
362.75	0.016246
363.00	0.014888
363.25	0.014974
363.50	0.012089
363.75	0.013694
364.00	0.010755
364.25	0.011424
364.50	0.010315
364.75	0.011457
365.00	0.011105
365.25	0.012853
365.50	0.011577
365.75	0.0095568
366.00	0.0080588
366.25	0.012661
366.50	0.010595
366.75	0.0073978
367.00	0.010317
367.25	0.0094176
367.50	0.0085195
367.75	0.0091538
368.00	0.0095504
368.25	0.010645
368.50	0.0077734
368.75	0.0056481
369.00	0.0061362
369.25	0.0086848
369.50	0.0082075
369.75	0.0079844
370.00	0.0086861
370.25	0.0064845
370.50	0.0049700
370.75	0.0046974
371.00	0.0059513
371.25	0.0061261
371.50	0.0035934
371.75	0.0065131
372.00	0.0037339
372.25	0.0017834
372.50	0.0052713
372.75	0.0042703
373.00	0.0028829
373.25	0.0049662
373.50	0.0043739
373.75	0.0031422
374.00	0.0022079
374.25	0.0049306
374.50	0.0040624
374.75	0.0030049
375.00	0.0016639
375.25	0.0026992
375.50	0.0041419
375.75	0.0010277
376.00	0.0039067
376.25	0.0012762
376.50	6.9911e-06
376.75	0.0020458
377.00	0.0043224
377.25	0.0032019
377.50	0.0027259
377.75	0.0014008
378.00	0.0028295
378.25	0.00074741
378.50	0.0023719
378.75	0.0020738
379.00	0.00032921
379.25	0.0023433
379.50	0.0010029
379.75	0.0019829
380.00	-0.00026947
380.25	0.00045505
380.50	0.0019569
380.75	-0.0011351
381.00	0.0019956
381.25	0.00042963
381.50	0.00084528
381.75	0.00074550
382.00	0.0015088
382.25	0.0012876
382.50	-0.00085354
382.75	0.0019638
383.00	0.00022244
383.25	-0.00040866
383.50	0.0027252
383.75	0.00026121
384.00	0.0034701
384.25	0.0034796
384.50	0.0028492
384.75	0.00032159
385.00	0.0016315
385.25	0.0018672
385.50	0.0019524
385.75	0.00026248
386.00	0.0019613
386.25	0.0012844
386.50	0.0010385
386.75	0.00095777
387.00	0.0016079
387.25	-0.0014770
387.50	0.0015959
387.75	0.0012641
388.00	-0.00048937
388.25	0.0015882
388.50	0.0032515
388.75	0.00044679
389.00	0.0017319
389.25	0.00037434
389.50	0.00043408
389.75	-0.00024596
390.00	0.0016137
390.25	0.0012469
390.50	0.00029490
390.75	-0.00064000
391.00	0.0019537
391.25	0.0010277
391.50	0.00096985
391.75	0.00087833
392.00	0.00070165
392.25	0.00099718
392.50	0.0023395
392.75	0.0012889
393.00	-0.0017147
393.25	0.00054848
393.50	0.0010900
393.75	-0.0010976
394.00	-5.4022e-05
394.25	0.0024990
394.50	0.00016143
394.75	0.0025206
395.00	-0.00015444
395.25	0.0012787
395.50	-0.0014961
395.75	-0.00089676
396.00	0.0017732
396.25	-0.00034065
396.50	0.00044679
396.75	0.00037815
397.00	0.0024119
397.25	0.00032413
397.50	0.00038133
397.75	0.00051416
398.00	0.00051924
398.25	-0.0014471
398.50	-0.00012520
398.75	0.00085100
399.00	0.00045124
399.25	-0.00059678
399.50	-0.00035909
399.75	0.00063174
400.00	0.00035591
