Wavelength (nm)	B02 abs N
351.75	0.0026492
352.00	1.2273e-05
352.25	0.0067002
352.50	0.0060621
352.75	0.0019547
353.00	0.0056488
353.25	0.0028358
353.50	0.0049626
353.75	0.0043597
354.00	0.0043908
354.25	0.0047125
354.50	0.0046908
354.75	0.0058578
355.00	0.0033178
355.25	0.0019753
355.50	0.00044784
355.75	0.0046703
356.00	0.0058725
356.25	0.0023198
356.50	0.0029321
356.75	0.0068023
357.00	0.0043327
357.25	0.00035743
357.50	0.0036465
357.75	-0.00022313
358.00	0.0025816
358.25	0.0048053
358.50	0.0057786
358.75	0.0057832
359.00	0.0060081
359.25	0.0032567
359.50	0.0040275
359.75	0.0024296
360.00	0.0025576
360.25	0.0028088
360.50	0.0024173
360.75	0.0013653
361.00	0.0037563
361.25	-0.00026305
361.50	0.0031581
361.75	0.00026585
362.00	0.0046644
362.25	0.0019571
362.50	0.0033266
362.75	0.0014557
363.00	0.0042605
363.25	0.0039570
363.50	0.0022183
363.75	0.0042042
364.00	0.0053447
364.25	0.0045658
364.50	0.0024396
364.75	0.0012468
365.00	0.0033471
365.25	-0.00080429
365.50	0.0013841
365.75	0.00018249
366.00	0.0017986
366.25	0.0022347
366.50	0.0055766
366.75	0.0034416
367.00	0.0032438
367.25	0.0022447
367.50	0.00074368
367.75	-2.6488e-05
368.00	0.0044337
368.25	0.0014798
368.50	0.0034393
368.75	0.0019647
369.00	0.0028499
369.25	0.0012432
369.50	0.0027889
369.75	0.0032338
370.00	0.0046650
370.25	0.00012613
370.50	0.0031422
370.75	0.0020111
371.00	0.0053970
371.25	0.0018443
371.50	0.0040063
371.75	0.0028575
372.00	0.0030207
372.25	0.0013700
372.50	0.0016917
372.75	-0.00022315
373.00	-0.0019443
373.25	0.0017498
373.50	0.0014904
373.75	0.0016183
374.00	0.00095383
374.25	0.00064153
374.50	0.0031029
374.75	-0.00067867
375.00	0.0025840
375.25	0.0020604
375.50	0.0017657
375.75	0.00088103
376.00	0.0054381
376.25	0.0017005
376.50	0.0041002
376.75	0.0042722
377.00	-0.00018734
377.25	0.0032514
377.50	0.0020322
377.75	-6.7592e-05
378.00	0.0040932
378.25	0.0012890
378.50	0.0028875
378.75	0.0032796
