Wavelength (nm)	Q-24, H2TBP(CO2Bu).ems
882.00	0.0018307
883.00	0.0018614
884.00	0.0019861
885.00	0.0021702
886.00	0.0017696
887.00	0.0017196
888.00	0.0020588
889.00	0.0016856
890.00	0.0017731
891.00	0.0014265
892.00	0.0018523
893.00	0.0015046
894.00	0.0016146
895.00	0.0018966
896.00	0.0016939
897.00	0.0017775
898.00	0.0017806
899.00	0.0019262
900.00	0.0020081
901.00	0.0019128
902.00	0.0018847
903.00	0.0018626
