Wavelength (nm)	I20 ems
762.50	0.11801
763.00	0.11637
763.50	0.11485
764.00	0.11406
764.50	0.11227
765.00	0.11112
765.50	0.11012
766.00	0.10843
766.50	0.10742
767.00	0.10570
767.50	0.10460
768.00	0.10361
768.50	0.10248
769.00	0.10197
769.50	0.099881
770.00	0.098935
770.50	0.097476
771.00	0.096700
771.50	0.095382
772.00	0.093743
772.50	0.092905
773.00	0.091669
773.50	0.091962
774.00	0.090422
774.50	0.089556
775.00	0.087655
775.50	0.087225
776.00	0.086096
776.50	0.085505
777.00	0.084239
777.50	0.082928
778.00	0.082274
778.50	0.081058
779.00	0.081051
779.50	0.079418
780.00	0.078725
780.50	0.077735
781.00	0.076692
781.50	0.076092
782.00	0.074553
782.50	0.073783
783.00	0.072418
783.50	0.072580
784.00	0.071273
784.50	0.070572
785.00	0.069305
785.50	0.069113
786.00	0.068852
786.50	0.068141
787.00	0.066733
787.50	0.066001
788.00	0.065782
788.50	0.064721
789.00	0.064239
789.50	0.063620
790.00	0.062973
790.50	0.061856
791.00	0.061148
791.50	0.061032
792.00	0.059583
792.50	0.058951
793.00	0.059101
793.50	0.058011
794.00	0.057055
794.50	0.056326
795.00	0.055941
795.50	0.055584
796.00	0.055126
796.50	0.054240
797.00	0.053865
797.50	0.053443
798.00	0.052851
798.50	0.052498
799.00	0.051655
799.50	0.051979
800.00	0.050461
