Wavelength (nm)	I17 abs N
448.25	0.021162
448.50	0.020182
448.75	0.019922
449.00	0.020607
449.25	0.020703
449.50	0.020778
449.75	0.019950
450.00	0.020415
450.25	0.020066
450.50	0.018251
450.75	0.020409
451.00	0.019285
451.25	0.020162
451.50	0.018894
451.75	0.019634
452.00	0.019107
452.25	0.019312
452.50	0.018874
452.75	0.016504
453.00	0.019292
453.25	0.019765
453.50	0.018751
453.75	0.017675
454.00	0.017415
454.25	0.017648
454.50	0.016764
454.75	0.018161
455.00	0.017860
455.25	0.016798
455.50	0.017209
455.75	0.018100
456.00	0.016654
456.25	0.017250
456.50	0.016963
456.75	0.015640
457.00	0.017812
457.25	0.016778
457.50	0.017593
457.75	0.016140
458.00	0.017017
458.25	0.016565
458.50	0.016195
458.75	0.016791
459.00	0.015318
459.25	0.015442
459.50	0.015168
459.75	0.017490
460.00	0.015270
460.25	0.014640
460.50	0.015106
460.75	0.014935
461.00	0.015236
461.25	0.015812
461.50	0.014469
461.75	0.015072
462.00	0.014585
462.25	0.015661
462.50	0.014058
462.75	0.016428
463.00	0.014750
463.25	0.014805
463.50	0.014551
463.75	0.015353
464.00	0.014339
464.25	0.013201
464.50	0.015551
464.75	0.014709
465.00	0.015435
465.25	0.014572
465.50	0.013722
465.75	0.013523
466.00	0.012859
466.25	0.013640
466.50	0.015010
466.75	0.014976
467.00	0.014599
467.25	0.013332
467.50	0.013558
467.75	0.014209
468.00	0.013811
468.25	0.014585
468.50	0.014757
468.75	0.014441
469.00	0.013201
469.25	0.014599
469.50	0.012051
469.75	0.013962
470.00	0.013489
470.25	0.013167
470.50	0.013003
470.75	0.012270
471.00	0.012338
471.25	0.012647
471.50	0.013969
471.75	0.012667
472.00	0.012736
472.25	0.013003
472.50	0.013414
472.75	0.013017
473.00	0.012756
473.25	0.012825
473.50	0.012797
473.75	0.012400
474.00	0.011091
474.25	0.011550
474.50	0.012092
474.75	0.011633
475.00	0.011955
475.25	0.011674
475.50	0.012126
475.75	0.012516
476.00	0.012784
476.25	0.012085
476.50	0.010030
476.75	0.013941
477.00	0.012160
477.25	0.012057
477.50	0.010598
477.75	0.012962
478.00	0.012256
478.25	0.010941
478.50	0.012647
478.75	0.011557
479.00	0.012140
479.25	0.012242
479.50	0.012701
479.75	0.011550
480.00	0.010564
480.25	0.013023
480.50	0.011249
480.75	0.012489
481.00	0.010173
481.25	0.012085
481.50	0.011598
481.75	0.010838
482.00	0.010961
482.25	0.0097624
482.50	0.012167
482.75	0.011352
