Wavelength (nm)	S10 abs N
450.19	0.042711
450.38	0.041531
450.56	0.041318
450.75	0.040699
450.94	0.041625
451.13	0.041472
451.31	0.040852
451.50	0.039967
451.69	0.040115
451.88	0.040817
452.06	0.039814
452.25	0.038575
452.44	0.038740
452.63	0.039059
452.81	0.039560
453.00	0.039377
453.19	0.038498
453.38	0.039224
453.56	0.038357
453.75	0.039159
453.94	0.039206
454.13	0.038315
454.31	0.037436
454.50	0.037879
454.69	0.037572
454.88	0.037253
455.06	0.037230
455.25	0.037289
455.44	0.036775
455.63	0.037289
455.81	0.037542
456.00	0.036085
456.19	0.036917
456.38	0.036982
456.56	0.034728
456.75	0.037124
456.94	0.036256
457.13	0.034746
457.31	0.034769
457.50	0.036528
457.69	0.034911
457.88	0.033731
458.06	0.034421
458.25	0.034350
458.44	0.034539
458.63	0.033731
458.81	0.033678
459.00	0.035312
459.19	0.034870
459.38	0.034504
459.56	0.035318
459.75	0.033465
459.94	0.032162
460.13	0.032580
460.31	0.033100
460.50	0.032374
460.69	0.032628
460.88	0.032321
461.06	0.031170
461.25	0.032091
461.44	0.031377
461.63	0.032828
461.81	0.032185
462.00	0.032698
462.19	0.032356
462.38	0.032929
462.56	0.030734
462.75	0.032946
462.94	0.030946
463.13	0.030993
463.31	0.031099
463.50	0.030793
463.69	0.030781
463.88	0.031489
464.06	0.031282
464.25	0.031005
464.44	0.031052
464.63	0.030268
464.81	0.030922
465.00	0.030775
465.19	0.031589
465.38	0.029636
465.56	0.029831
465.75	0.029040
465.94	0.029648
466.13	0.029329
466.31	0.029530
466.50	0.028326
466.69	0.029176
466.88	0.030197
467.06	0.029200
467.25	0.028793
467.44	0.029217
467.63	0.030332
467.81	0.029294
468.00	0.028498
468.19	0.030132
468.38	0.028680
468.56	0.028332
468.75	0.029011
468.94	0.029860
469.13	0.028232
469.31	0.027860
469.50	0.028391
469.69	0.027760
469.88	0.029689
470.06	0.028291
470.25	0.028610
470.44	0.028126
470.63	0.028450
470.81	0.028374
471.00	0.027795
471.19	0.027559
471.38	0.028297
471.56	0.028557
471.75	0.027371
471.94	0.027559
472.13	0.029371
472.31	0.028492
472.50	0.028739
472.69	0.028881
472.88	0.029046
473.06	0.029023
473.25	0.029141
473.44	0.029660
473.63	0.029152
473.81	0.028952
474.00	0.028344
474.19	0.029046
474.38	0.029017
474.56	0.028256
474.75	0.028468
474.94	0.031448
475.13	0.030114
475.31	0.029689
475.50	0.029176
475.69	0.028928
475.88	0.029683
476.06	0.030403
476.25	0.029211
476.44	0.029436
476.63	0.029424
476.81	0.030020
477.00	0.031241
477.19	0.030976
477.38	0.031188
477.56	0.031394
477.75	0.031666
477.94	0.031507
478.13	0.032687
478.31	0.031200
478.50	0.031825
478.69	0.031217
478.88	0.030509
479.06	0.032014
479.25	0.031920
479.44	0.032775
479.63	0.031731
479.81	0.032616
480.00	0.032675
480.19	0.032179
480.38	0.032940
480.56	0.033878
480.75	0.032468
480.94	0.032970
481.13	0.034291
481.31	0.033991
481.50	0.033578
481.69	0.033672
481.88	0.033342
482.06	0.034793
482.25	0.035206
482.44	0.033873
482.63	0.035920
482.81	0.036014
483.00	0.036103
483.19	0.036014
483.38	0.035029
483.56	0.036604
483.75	0.036498
483.94	0.036410
484.13	0.037041
484.31	0.036498
484.50	0.037023
484.69	0.036817
484.88	0.036256
485.06	0.038516
485.25	0.039159
485.44	0.037501
485.63	0.038227
485.81	0.039041
486.00	0.038994
486.19	0.039135
486.38	0.038280
486.56	0.039035
486.75	0.039784
486.94	0.041307
487.13	0.038675
487.31	0.040628
487.50	0.040115
487.69	0.040298
487.88	0.039725
488.06	0.040888
488.25	0.040864
488.44	0.041195
488.63	0.040941
488.81	0.040622
489.00	0.041236
489.19	0.043089
489.38	0.041330
489.56	0.043631
489.75	0.042339
489.94	0.042481
490.13	0.043035
490.31	0.043124
490.50	0.044210
490.69	0.044522
490.88	0.043307
491.06	0.044227
491.25	0.044888
491.44	0.045331
491.63	0.045537
491.81	0.044481
492.00	0.045767
492.19	0.045932
492.38	0.046646
492.56	0.046334
492.75	0.046457
492.94	0.047325
493.13	0.046652
493.31	0.047643
493.50	0.050003
493.69	0.048546
493.88	0.048888
494.06	0.049071
494.25	0.049950
494.44	0.049880
494.63	0.050499
494.81	0.051030
495.00	0.050924
495.19	0.049921
495.38	0.051750
495.56	0.051101
495.75	0.051201
495.94	0.052712
496.13	0.053591
496.31	0.052375
496.50	0.052181
496.69	0.053190
496.88	0.054901
497.06	0.054045
497.25	0.055119
497.44	0.054965
497.63	0.057089
497.81	0.057237
498.00	0.056907
498.19	0.055839
498.38	0.056741
498.56	0.056435
498.75	0.058989
498.94	0.059432
499.13	0.059308
499.31	0.060523
499.50	0.059933
499.69	0.060641
499.88	0.061161
500.06	0.062488
500.25	0.061898
500.44	0.062164
500.63	0.063881
500.81	0.064081
501.00	0.064075
501.19	0.066034
501.38	0.065580
501.56	0.066488
501.75	0.066317
501.94	0.067775
502.13	0.068683
502.31	0.069197
502.50	0.070005
502.69	0.070217
502.88	0.071663
503.06	0.073604
503.25	0.072890
503.44	0.074395
503.63	0.075433
503.81	0.077109
504.00	0.077693
504.19	0.078271
504.38	0.079327
504.56	0.080725
504.75	0.082407
504.94	0.083156
505.13	0.084142
505.31	0.086006
505.50	0.086608
505.69	0.087357
505.88	0.089953
506.06	0.090413
506.25	0.092720
506.44	0.092189
506.63	0.094862
506.81	0.095364
507.00	0.096343
507.19	0.099830
507.38	0.10112
507.56	0.10259
507.75	0.10210
507.94	0.10555
508.13	0.10720
508.31	0.10883
508.50	0.11057
508.69	0.11181
508.88	0.11462
509.06	0.11522
509.25	0.11768
509.44	0.11959
509.63	0.12203
509.81	0.12341
510.00	0.12472
510.19	0.12656
