Wavelength (nm)	I14 abs N
694.00	0.0069428
695.00	0.0068673
696.00	0.0057755
697.00	0.0056640
698.00	0.0055671
699.00	0.0053306
700.00	0.0051447
701.00	0.0047142
702.00	0.0046063
703.00	0.0044818
704.00	0.0041549
705.00	0.0040364
706.00	0.0041014
707.00	0.0038529
708.00	0.0034875
709.00	0.0035660
710.00	0.0036015
711.00	0.0034130
712.00	0.0033370
713.00	0.0032400
714.00	0.0032850
715.00	0.0031121
716.00	0.0029771
717.00	0.0029041
718.00	0.0028291
719.00	0.0028451
720.00	0.0027551
721.00	0.0025662
722.00	0.0027491
723.00	0.0026087
724.00	0.0025387
725.00	0.0024287
726.00	0.0025602
727.00	0.0024162
728.00	0.0023367
729.00	0.0023077
730.00	0.0020593
731.00	0.0022303
732.00	0.0025207
733.00	0.0020488
734.00	0.0022233
735.00	0.0020573
736.00	0.0019253
737.00	0.0019133
738.00	0.0019463
739.00	0.0020643
740.00	0.0022058
741.00	0.0018978
742.00	0.0021653
743.00	0.0017009
744.00	0.0018133
745.00	0.0017483
746.00	0.0019278
747.00	0.0018653
748.00	0.0020883
749.00	0.0018303
750.00	0.0016144
751.00	0.0019268
752.00	0.0017139
753.00	0.0016289
754.00	0.0015619
755.00	0.0019163
756.00	0.0016664
757.00	0.0016184
758.00	0.0014839
759.00	0.0017274
760.00	0.0014914
761.00	0.0013384
762.00	0.0013404
763.00	0.0011800
764.00	0.0013314
765.00	0.0014304
766.00	0.0014319
767.00	0.0015664
768.00	0.0016529
769.00	0.0012939
770.00	0.0012764
771.00	0.0014814
772.00	0.0014119
773.00	0.0012555
774.00	0.0013394
775.00	0.0012929
776.00	0.0012155
777.00	0.0011920
778.00	0.0015299
779.00	0.0015204
780.00	0.0011785
781.00	0.0011905
782.00	0.0011505
783.00	0.00089103
784.00	0.0012305
785.00	0.00094002
786.00	0.0011545
787.00	0.0011110
788.00	0.0010745
789.00	0.0011295
790.00	0.0013704
791.00	0.0011505
792.00	0.0010145
793.00	0.0011590
794.00	0.0010535
795.00	0.0010930
796.00	0.0012030
797.00	0.0012005
798.00	0.00097951
799.00	0.00069357
800.00	0.00094152
