Wavelength (nm)	E20 abs N
361.75	0.056694
362.00	0.055415
362.25	0.057011
362.50	0.053776
362.75	0.052632
363.00	0.053013
363.25	0.056512
363.50	0.053694
363.75	0.054123
364.00	0.056096
364.25	0.053577
364.50	0.052708
364.75	0.053506
365.00	0.052866
365.25	0.050982
365.50	0.052966
365.75	0.053266
366.00	0.053870
366.25	0.050829
366.50	0.053559
366.75	0.053119
367.00	0.051528
367.25	0.052068
367.50	0.053154
367.75	0.052144
368.00	0.051146
368.25	0.051088
368.50	0.050277
368.75	0.050518
369.00	0.051093
369.25	0.050765
369.50	0.050471
369.75	0.051099
370.00	0.050048
370.25	0.050271
370.50	0.050107
370.75	0.047782
371.00	0.047665
371.25	0.051234
371.50	0.049925
371.75	0.051146
372.00	0.048164
372.25	0.050753
372.50	0.051146
372.75	0.052397
373.00	0.049972
373.25	0.049273
373.50	0.051974
373.75	0.050084
374.00	0.049532
374.25	0.049138
374.50	0.048915
374.75	0.050119
375.00	0.048011
375.25	0.050448
375.50	0.048352
375.75	0.050089
376.00	0.052726
376.25	0.050207
376.50	0.048815
376.75	0.047911
377.00	0.048651
377.25	0.051739
377.50	0.049473
377.75	0.050042
378.00	0.051023
378.25	0.049385
378.50	0.049978
378.75	0.049649
379.00	0.051299
379.25	0.051369
379.50	0.052773
379.75	0.050266
380.00	0.051170
380.25	0.051093
380.50	0.050078
380.75	0.051152
381.00	0.052438
381.25	0.053154
381.50	0.052614
381.75	0.052203
382.00	0.052937
382.25	0.053501
382.50	0.053154
382.75	0.052778
383.00	0.054933
383.25	0.055150
383.50	0.054176
383.75	0.055227
384.00	0.056442
384.25	0.054745
384.50	0.056054
384.75	0.056219
385.00	0.055743
385.25	0.057493
385.50	0.058391
385.75	0.058438
386.00	0.057293
386.25	0.057528
386.50	0.057252
386.75	0.059865
387.00	0.059031
387.25	0.060763
387.50	0.060317
387.75	0.059201
388.00	0.058943
388.25	0.060164
388.50	0.059988
388.75	0.061744
389.00	0.062454
389.25	0.059965
389.50	0.061338
389.75	0.060393
390.00	0.063763
390.25	0.061761
390.50	0.061274
390.75	0.063317
391.00	0.062096
391.25	0.064386
391.50	0.062155
391.75	0.063159
392.00	0.064620
392.25	0.063910
392.50	0.065478
392.75	0.064526
393.00	0.065243
393.25	0.065554
393.50	0.065431
393.75	0.065648
394.00	0.066570
394.25	0.068037
394.50	0.066810
394.75	0.065613
395.00	0.066652
395.25	0.065818
395.50	0.069493
395.75	0.066693
396.00	0.069006
396.25	0.067855
396.50	0.069775
396.75	0.068848
397.00	0.068607
397.25	0.071355
397.50	0.070450
397.75	0.071360
398.00	0.070157
398.25	0.070427
398.50	0.071202
398.75	0.071231
399.00	0.072910
399.25	0.072288
399.50	0.073603
399.75	0.072370
400.00	0.072470
400.25	0.074584
400.50	0.073028
400.75	0.074261
401.00	0.073398
401.25	0.076075
401.50	0.076527
401.75	0.075570
402.00	0.078494
402.25	0.075635
402.50	0.077408
402.75	0.078605
403.00	0.079116
403.25	0.078271
403.50	0.079286
403.75	0.081512
404.00	0.080936
404.25	0.082410
404.50	0.081482
404.75	0.081394
405.00	0.082932
405.25	0.082927
405.50	0.085586
405.75	0.085586
406.00	0.085486
406.25	0.086549
406.50	0.087999
406.75	0.088146
407.00	0.090988
407.25	0.089520
407.50	0.090729
407.75	0.090606
408.00	0.092250
408.25	0.091569
408.50	0.094023
408.75	0.094992
409.00	0.093888
409.25	0.096148
409.50	0.095984
409.75	0.097962
410.00	0.099207
410.25	0.098761
410.50	0.099665
410.75	0.10112
411.00	0.10323
411.25	0.10305
411.50	0.10405
411.75	0.10552
412.00	0.10521
412.25	0.10732
412.50	0.10750
412.75	0.10769
413.00	0.10975
413.25	0.10926
413.50	0.11232
413.75	0.11270
414.00	0.11507
414.25	0.11383
414.50	0.11556
414.75	0.11328
415.00	0.11515
415.25	0.11518
415.50	0.11734
415.75	0.11871
416.00	0.11828
416.25	0.11974
416.50	0.11901
416.75	0.12031
417.00	0.12272
417.25	0.12235
417.50	0.12341
417.75	0.12353
418.00	0.12422
418.25	0.12670
418.50	0.12727
418.75	0.12668
419.00	0.12881
419.25	0.12853
419.50	0.12959
419.75	0.12957
420.00	0.12869
420.25	0.13036
420.50	0.13139
420.75	0.13146
421.00	0.13212
421.25	0.13259
421.50	0.13287
421.75	0.13503
422.00	0.13434
422.25	0.13292
422.50	0.13502
422.75	0.13627
423.00	0.13615
423.25	0.13455
423.50	0.13655
423.75	0.13861
424.00	0.13894
424.25	0.13730
424.50	0.13869
424.75	0.13993
425.00	0.13917
425.25	0.13893
425.50	0.13841
425.75	0.13872
426.00	0.13950
426.25	0.14267
426.50	0.14178
426.75	0.14092
427.00	0.13972
427.25	0.14204
427.50	0.14049
427.75	0.14265
428.00	0.14245
428.25	0.14169
428.50	0.14328
428.75	0.14278
429.00	0.14332
429.25	0.14271
429.50	0.14191
429.75	0.14544
430.00	0.14439
430.25	0.14587
430.50	0.14344
430.75	0.14375
431.00	0.14503
431.25	0.14558
431.50	0.14487
431.75	0.14638
432.00	0.14794
432.25	0.14503
432.50	0.14679
432.75	0.14623
433.00	0.14518
433.25	0.14821
433.50	0.14637
433.75	0.14662
434.00	0.14774
434.25	0.14825
434.50	0.14765
434.75	0.14718
435.00	0.14820
435.25	0.14985
435.50	0.14936
435.75	0.15004
436.00	0.14960
436.25	0.14982
436.50	0.15019
436.75	0.15026
437.00	0.15113
437.25	0.15069
437.50	0.15170
437.75	0.15105
438.00	0.15279
438.25	0.15269
438.50	0.15247
438.75	0.15335
439.00	0.15340
439.25	0.15233
439.50	0.15361
439.75	0.15325
440.00	0.15276
440.25	0.15301
440.50	0.15517
440.75	0.15486
441.00	0.15396
441.25	0.15617
441.50	0.15723
441.75	0.15607
442.00	0.15621
442.25	0.15738
442.50	0.15623
442.75	0.15794
443.00	0.15734
443.25	0.15883
443.50	0.15972
443.75	0.15755
444.00	0.15993
444.25	0.16094
444.50	0.16068
444.75	0.16176
445.00	0.16145
445.25	0.16102
445.50	0.16105
445.75	0.16146
446.00	0.16131
446.25	0.16286
446.50	0.16326
446.75	0.16370
447.00	0.16331
447.25	0.16433
447.50	0.16459
447.75	0.16559
448.00	0.16636
448.25	0.16654
448.50	0.16590
448.75	0.16673
449.00	0.16508
449.25	0.16549
449.50	0.16668
449.75	0.16609
450.00	0.16609
450.25	0.16767
450.50	0.16704
450.75	0.16771
451.00	0.16660
451.25	0.16769
451.50	0.16653
451.75	0.16813
452.00	0.17003
452.25	0.16756
452.50	0.16928
452.75	0.16810
453.00	0.16744
453.25	0.16802
453.50	0.16789
453.75	0.16836
454.00	0.16694
454.25	0.16741
454.50	0.16793
454.75	0.16627
455.00	0.16714
455.25	0.16819
455.50	0.16650
455.75	0.16677
456.00	0.16605
456.25	0.16547
456.50	0.16549
456.75	0.16519
457.00	0.16416
457.25	0.16488
457.50	0.16496
457.75	0.16335
458.00	0.16299
458.25	0.16307
458.50	0.16274
458.75	0.16213
459.00	0.16148
459.25	0.16023
459.50	0.15971
459.75	0.15896
460.00	0.15924
460.25	0.15744
460.50	0.15820
460.75	0.15657
461.00	0.15738
461.25	0.15459
461.50	0.15493
461.75	0.15360
462.00	0.15290
462.25	0.15323
462.50	0.15232
462.75	0.15046
463.00	0.14955
463.25	0.14872
463.50	0.14721
463.75	0.14554
464.00	0.14632
464.25	0.14486
464.50	0.14387
464.75	0.14195
465.00	0.14086
465.25	0.14071
465.50	0.14050
465.75	0.13823
466.00	0.13719
466.25	0.13722
466.50	0.13624
466.75	0.13376
467.00	0.13297
467.25	0.13099
467.50	0.12992
467.75	0.13008
468.00	0.12934
468.25	0.12721
468.50	0.12610
468.75	0.12478
469.00	0.12410
469.25	0.12151
469.50	0.11987
469.75	0.12016
470.00	0.11811
470.25	0.11724
470.50	0.11541
470.75	0.11492
471.00	0.11307
471.25	0.11178
471.50	0.10993
471.75	0.10821
472.00	0.10882
472.25	0.10794
472.50	0.10555
472.75	0.10452
473.00	0.10302
473.25	0.10190
473.50	0.099419
473.75	0.098150
474.00	0.098004
474.25	0.097076
474.50	0.095467
474.75	0.095315
475.00	0.093724
475.25	0.091874
475.50	0.089091
475.75	0.087541
476.00	0.086543
476.25	0.085205
476.50	0.084494
476.75	0.082950
477.00	0.083678
477.25	0.081030
477.50	0.080038
477.75	0.079715
478.00	0.078740
478.25	0.076416
478.50	0.075828
478.75	0.075353
479.00	0.074578
479.25	0.074425
479.50	0.071560
479.75	0.070315
480.00	0.069816
480.25	0.068554
480.50	0.068202
480.75	0.068666
481.00	0.066258
481.25	0.065912
481.50	0.065478
481.75	0.063282
482.00	0.063299
482.25	0.062202
482.50	0.061697
482.75	0.059671
483.00	0.059313
483.25	0.059008
483.50	0.057646
483.75	0.057440
484.00	0.056207
484.25	0.055896
484.50	0.055332
484.75	0.054346
485.00	0.053454
485.25	0.052990
485.50	0.052168
485.75	0.050982
486.00	0.049526
486.25	0.049755
486.50	0.048792
486.75	0.049802
487.00	0.048375
487.25	0.046772
487.50	0.046831
487.75	0.045727
488.00	0.045387
488.25	0.045070
488.50	0.043931
488.75	0.043983
489.00	0.042210
489.25	0.043743
489.50	0.041688
489.75	0.040919
490.00	0.040848
490.25	0.039187
490.50	0.039991
490.75	0.039833
491.00	0.039827
491.25	0.039698
491.50	0.037026
491.75	0.037666
492.00	0.037161
492.25	0.035488
492.50	0.036239
492.75	0.035688
493.00	0.035200
493.25	0.035394
493.50	0.035987
493.75	0.034507
494.00	0.033603
494.25	0.033093
494.50	0.033392
494.75	0.033539
495.00	0.032024
495.25	0.032018
495.50	0.032682
495.75	0.030674
496.00	0.032183
496.25	0.030409
