Wavelength (nm)	I-19, 7385-67-3, Nile Red.ems
781.00	0.017154
781.50	0.017221
782.00	0.016996
782.50	0.016268
783.00	0.016398
783.50	0.016568
784.00	0.015994
784.50	0.015388
785.00	0.015936
785.50	0.015010
786.00	0.013882
786.50	0.015517
787.00	0.015089
787.50	0.014560
788.00	0.014599
788.50	0.014175
789.00	0.014022
789.50	0.014193
790.00	0.013895
790.50	0.014152
791.00	0.013643
791.50	0.013085
792.00	0.012768
792.50	0.013292
793.00	0.012950
793.50	0.012546
794.00	0.012787
794.50	0.012510
795.00	0.012335
795.50	0.012601
796.00	0.012650
796.50	0.012072
797.00	0.011966
797.50	0.012103
798.00	0.011733
798.50	0.011499
799.00	0.011657
799.50	0.011948
800.00	0.011052
