Wavelength (nm)	N-10, 62669-70-9, Rhodamine 123.ems
737.00	0.0035564
737.50	0.0034848
738.00	0.0036687
738.50	0.0036359
739.00	0.0035686
739.50	0.0034904
740.00	0.0035614
740.50	0.0033814
741.00	0.0034610
741.50	0.0035106
742.00	0.0034825
742.50	0.0032448
743.00	0.0037448
743.50	0.0034091
744.00	0.0035766
744.50	0.0033731
745.00	0.0034630
745.50	0.0033634
746.00	0.0033228
746.50	0.0033942
747.00	0.0032460
747.50	0.0035234
748.00	0.0034090
748.50	0.0033109
749.00	0.0033898
749.50	0.0034515
750.00	0.0034054
