Wavelength (nm)	L-1, 2465-27-2, Auramine O.ems
653.00	0.076995
653.50	0.073981
654.00	0.069742
654.50	0.070672
655.00	0.075643
655.50	0.066437
656.00	0.063644
656.50	0.070731
657.00	0.066191
657.50	0.067113
658.00	0.070588
658.50	0.066042
659.00	0.062406
659.50	0.062350
660.00	0.060212
660.50	0.063824
661.00	0.055782
661.50	0.060226
662.00	0.060625
662.50	0.060264
663.00	0.061116
663.50	0.061051
664.00	0.051038
664.50	0.050529
665.00	0.051022
665.50	0.057402
666.00	0.054642
666.50	0.047097
667.00	0.049090
667.50	0.049019
668.00	0.050229
668.50	0.048858
669.00	0.056499
669.50	0.048100
670.00	0.053671
670.50	0.053978
671.00	0.047289
671.50	0.048637
672.00	0.048479
672.50	0.047550
673.00	0.043961
673.50	0.039639
674.00	0.040349
674.50	0.039067
675.00	0.038900
675.50	0.044269
676.00	0.044489
676.50	0.033786
677.00	0.046348
677.50	0.035789
678.00	0.040007
678.50	0.043451
679.00	0.036332
679.50	0.033169
680.00	0.034494
680.50	0.031878
681.00	0.037455
681.50	0.036225
682.00	0.040466
682.50	0.035704
683.00	0.040078
683.50	0.036498
684.00	0.030445
684.50	0.033681
685.00	0.027431
685.50	0.028252
686.00	0.029077
686.50	0.034910
687.00	0.034066
687.50	0.035333
688.00	0.030086
688.50	0.031230
689.00	0.027222
689.50	0.030949
690.00	0.023745
690.50	0.028251
691.00	0.019474
691.50	0.018780
692.00	0.023220
692.50	0.022316
693.00	0.025957
693.50	0.025596
694.00	0.019727
694.50	0.015994
695.00	0.023675
695.50	0.024539
696.00	0.018866
696.50	0.029237
697.00	0.025795
697.50	0.026789
698.00	0.024316
698.50	0.021456
699.00	0.018203
699.50	0.016792
700.00	0.017021
