Wavelength (nm)	E22 abs N
438.00	0.76086
438.25	0.76400
438.50	0.77205
438.75	0.77465
439.00	0.78027
439.25	0.78502
439.50	0.78700
439.75	0.79255
440.00	0.80087
440.25	0.79979
440.50	0.80676
440.75	0.80926
441.00	0.81322
441.25	0.81773
441.50	0.81990
441.75	0.82543
442.00	0.82805
442.25	0.83410
442.50	0.83919
442.75	0.84262
443.00	0.84668
443.25	0.85276
443.50	0.85204
443.75	0.85813
444.00	0.86171
444.25	0.86659
444.50	0.87038
444.75	0.87413
445.00	0.87555
445.25	0.88124
445.50	0.88787
445.75	0.89117
446.00	0.89245
446.25	0.89429
446.50	0.90011
446.75	0.90292
447.00	0.90489
447.25	0.90805
447.50	0.91355
447.75	0.91568
448.00	0.92328
448.25	0.92085
448.50	0.92448
448.75	0.92900
449.00	0.93113
449.25	0.93766
449.50	0.94062
449.75	0.94019
450.00	0.94157
450.25	0.94908
450.50	0.94841
450.75	0.95233
451.00	0.95574
451.25	0.96013
451.50	0.96020
451.75	0.96057
452.00	0.96403
452.25	0.96379
452.50	0.96755
452.75	0.96964
453.00	0.97082
453.25	0.97478
453.50	0.97689
453.75	0.97785
454.00	0.97878
454.25	0.98021
454.50	0.98372
454.75	0.98372
455.00	0.98209
455.25	0.98328
455.50	0.98498
455.75	0.98734
456.00	0.99122
456.25	0.98725
456.50	0.99178
456.75	0.99448
457.00	0.99406
457.25	0.99202
457.50	0.99608
457.75	0.99475
458.00	0.99623
458.25	0.99561
458.50	0.99621
458.75	0.99606
459.00	0.99901
459.25	0.99698
459.50	0.99460
459.75	0.99436
460.00	0.99768
460.25	0.99833
460.50	1.0000
460.75	0.99395
461.00	0.99744
461.25	0.99744
461.50	0.99751
461.75	0.99642
462.00	0.99309
462.25	0.99536
462.50	0.99135
462.75	0.99333
463.00	0.99067
463.25	0.99014
463.50	0.99027
463.75	0.98789
464.00	0.98524
464.25	0.98656
464.50	0.98546
464.75	0.98448
465.00	0.97993
465.25	0.97935
465.50	0.98202
465.75	0.97672
466.00	0.97580
466.25	0.97224
466.50	0.96881
466.75	0.96765
467.00	0.96315
467.25	0.96266
467.50	0.96264
467.75	0.95818
468.00	0.95687
468.25	0.95264
468.50	0.95177
468.75	0.95046
469.00	0.94619
469.25	0.94180
469.50	0.94052
469.75	0.93691
470.00	0.93508
470.25	0.92909
470.50	0.92648
470.75	0.92514
471.00	0.92185
471.25	0.91586
471.50	0.91095
471.75	0.90887
472.00	0.90440
472.25	0.90096
472.50	0.89751
472.75	0.89131
473.00	0.88943
473.25	0.88503
473.50	0.87921
473.75	0.87528
474.00	0.87343
474.25	0.86959
474.50	0.86358
474.75	0.85853
475.00	0.84905
475.25	0.84518
475.50	0.83753
475.75	0.83283
476.00	0.82584
476.25	0.81990
476.50	0.81634
476.75	0.80960
477.00	0.80408
477.25	0.79821
477.50	0.79434
477.75	0.79049
478.00	0.78118
478.25	0.77504
478.50	0.77127
478.75	0.76508
479.00	0.75865
479.25	0.75187
479.50	0.74711
479.75	0.74162
480.00	0.73399
480.25	0.72662
480.50	0.72085
480.75	0.71298
481.00	0.70895
481.25	0.70050
481.50	0.69462
481.75	0.69036
482.00	0.68289
482.25	0.67539
482.50	0.66929
482.75	0.66234
483.00	0.65385
483.25	0.64840
483.50	0.64018
483.75	0.63287
484.00	0.62552
484.25	0.62085
484.50	0.61147
484.75	0.60557
485.00	0.59716
485.25	0.58911
485.50	0.58092
485.75	0.57770
486.00	0.56726
486.25	0.55998
486.50	0.55280
486.75	0.54269
487.00	0.53614
487.25	0.53099
487.50	0.52286
487.75	0.51295
488.00	0.50602
488.25	0.50052
488.50	0.49249
488.75	0.48384
489.00	0.47485
489.25	0.46833
489.50	0.46247
489.75	0.45383
490.00	0.44453
490.25	0.43917
490.50	0.43161
490.75	0.42334
491.00	0.41542
491.25	0.40834
491.50	0.40144
491.75	0.39471
492.00	0.38658
492.25	0.37878
492.50	0.37153
492.75	0.36469
493.00	0.35666
493.25	0.35022
493.50	0.34484
493.75	0.33861
494.00	0.33359
494.25	0.32571
494.50	0.32430
494.75	0.32121
495.00	0.31509
495.25	0.30673
495.50	0.29935
495.75	0.29106
496.00	0.28817
496.25	0.28213
496.50	0.27470
496.75	0.26790
497.00	0.26362
497.25	0.25809
497.50	0.25178
497.75	0.24437
498.00	0.24034
498.25	0.23456
498.50	0.22863
498.75	0.22301
499.00	0.21962
499.25	0.21477
499.50	0.20873
499.75	0.20376
500.00	0.19920
500.25	0.19398
500.50	0.18856
500.75	0.18481
501.00	0.18078
501.25	0.17758
501.50	0.17361
501.75	0.16773
502.00	0.16429
502.25	0.16076
502.50	0.15494
502.75	0.15400
503.00	0.14933
503.25	0.14535
503.50	0.14281
503.75	0.13924
504.00	0.13402
504.25	0.13120
504.50	0.12889
504.75	0.12376
505.00	0.12200
505.25	0.11798
505.50	0.11603
505.75	0.11369
506.00	0.11015
506.25	0.10651
506.50	0.10457
506.75	0.10263
507.00	0.098874
507.25	0.098767
507.50	0.096308
507.75	0.093544
508.00	0.090921
508.25	0.088036
508.50	0.084660
508.75	0.082329
509.00	0.081227
509.25	0.079401
509.50	0.077538
509.75	0.074383
510.00	0.073807
510.25	0.073893
510.50	0.067752
510.75	0.066928
511.00	0.065272
511.25	0.063402
511.50	0.061661
511.75	0.058285
512.00	0.060204
512.25	0.056729
512.50	0.056025
512.75	0.055613
513.00	0.051775
513.25	0.051619
513.50	0.051626
513.75	0.048321
514.00	0.046125
514.25	0.046978
514.50	0.045272
514.75	0.044434
515.00	0.042017
515.25	0.041704
515.50	0.039338
515.75	0.035948
516.00	0.036403
516.25	0.036097
516.50	0.034974
516.75	0.033837
517.00	0.032771
517.25	0.030937
517.50	0.030091
517.75	0.030575
518.00	0.029708
518.25	0.028976
518.50	0.027924
518.75	0.028784
519.00	0.026616
519.25	0.024747
519.50	0.024555
519.75	0.024257
520.00	0.024121
520.25	0.022821
520.50	0.020973
520.75	0.021250
521.00	0.019701
521.25	0.022053
521.50	0.021904
521.75	0.019545
522.00	0.017491
522.25	0.018258
522.50	0.018749
522.75	0.016289
523.00	0.016197
523.25	0.015188
523.50	0.017270
523.75	0.014740
524.00	0.016837
524.25	0.014037
524.50	0.013631
524.75	0.012736
525.00	0.013532
525.25	0.013347
525.50	0.011435
525.75	0.013944
526.00	0.011293
526.25	0.013781
526.50	0.012267
526.75	0.010007
527.00	0.010739
527.25	0.011251
527.50	0.011542
527.75	0.0090829
528.00	0.010199
528.25	0.0089336
528.50	0.0095235
528.75	0.0089052
529.00	0.0069223
529.25	0.0090260
529.50	0.0083508
529.75	0.010121
530.00	0.0074767
530.25	0.0078320
530.50	0.0089265
530.75	0.0060908
531.00	0.0058776
531.25	0.0067517
531.50	0.0054440
531.75	0.0053019
532.00	0.0075406
532.25	0.0068228
532.50	0.0056857
532.75	0.0057283
533.00	0.0050389
533.25	0.0045841
533.50	0.0050176
533.75	0.0053872
534.00	0.0051171
534.25	0.0055080
534.50	0.0077965
534.75	0.0049181
535.00	0.0046196
535.25	0.0042998
535.50	0.0050389
535.75	0.0025586
536.00	0.0029566
536.25	0.0042856
536.50	0.0035322
536.75	0.0027149
537.00	0.0046552
537.25	0.0052450
537.50	0.0024022
537.75	0.0040510
538.00	0.0034825
538.25	0.0037454
538.50	0.0045557
538.75	0.0030774
539.00	0.0041861
539.25	0.0033901
539.50	0.0030703
539.75	0.0040510
540.00	0.0029850
540.25	0.0049679
540.50	0.0047689
540.75	0.0046125
541.00	0.0034896
541.25	0.0044562
541.50	0.0029210
541.75	0.0045130
542.00	0.0016773
542.25	0.0030703
542.50	0.0033048
542.75	0.0036886
543.00	0.0019616
543.25	0.0018478
543.50	0.0030205
543.75	0.0036033
544.00	0.0034043
544.25	0.0029352
544.50	0.0042714
544.75	0.0029068
545.00	0.0024164
545.25	0.0015565
545.50	0.00080310
545.75	0.0038663
546.00	0.0025301
546.25	0.0017697
546.50	0.0042003
546.75	0.0044277
547.00	0.0033048
547.25	0.0012935
547.50	0.0027433
547.75	0.0020753
548.00	0.0039658
548.25	0.0037739
548.50	0.0030347
548.75	0.00073914
549.00	0.0041861
549.25	0.0025799
549.50	0.0013432
549.75	0.0013788
550.00	0.0016702
550.25	0.0028215
550.50	0.0024306
550.75	0.0015422
551.00	0.0020540
551.25	0.0018550
551.50	0.0010376
551.75	-7.1070e-06
552.00	0.0022601
552.25	0.0037881
552.50	0.0023027
552.75	0.0014356
553.00	0.0010021
553.25	0.0036317
553.50	0.0017412
553.75	0.0047831
554.00	0.0015778
554.25	0.0023169
554.50	0.0031911
554.75	0.0022103
555.00	0.00035536
555.25	0.0015565
555.50	0.0029494
555.75	0.0011727
556.00	0.0022885
556.25	0.0033474
556.50	0.0020895
556.75	0.0018478
557.00	0.00059700
557.25	0.0018052
557.50	0.00079600
557.75	0.0033830
558.00	0.0026154
558.25	0.0023596
558.50	0.0013503
558.75	0.0022103
559.00	0.0034896
559.25	9.2392e-05
559.50	-0.00044775
559.75	0.0028855
560.00	0.0012793
560.25	0.0015280
560.50	0.0027576
560.75	0.0036673
561.00	0.0031556
561.25	0.0035535
561.50	0.00025586
561.75	0.0016560
562.00	0.0013432
562.25	0.00080310
562.50	-0.00038378
562.75	0.0015636
563.00	0.0048115
563.25	0.0032622
563.50	0.0016204
563.75	0.0024946
564.00	0.00049750
564.25	0.0014854
564.50	0.0024733
564.75	-0.00051171
565.00	-0.00024164
565.25	0.0030632
565.50	0.00044064
565.75	0.0040439
566.00	0.0021677
566.25	0.0035180
566.50	0.0010447
566.75	0.0022885
567.00	0.0016133
567.25	0.00034114
567.50	0.0019616
567.75	0.00012082
568.00	0.0024662
568.25	0.0017910
568.50	0.0034398
568.75	0.0033403
569.00	0.0015351
569.25	0.0013646
569.50	0.0014248
569.75	0.00061121
570.00	0.00053303
570.25	0.00081732
570.50	0.0026296
570.75	0.0012082
571.00	0.0026794
571.25	0.0020682
571.50	0.00012082
571.75	0.0022103
572.00	0.0014285
572.25	0.0018621
572.50	0.0025088
572.75	0.0019331
573.00	0.0018123
573.25	0.0015920
573.50	0.0023951
573.75	0.0013646
574.00	0.0016631
574.25	0.0024448
574.50	0.0011016
574.75	0.00091682
575.00	0.00058278
575.25	0.0023027
575.50	0.0022814
575.75	0.0013148
576.00	0.00058989
576.25	0.0026083
576.50	0.0019616
576.75	0.0022530
577.00	0.00030561
577.25	0.0022956
577.50	0.0026865
577.75	0.0024662
578.00	5.6857e-05
578.25	0.0016702
