Wavelength (nm)	M01 abs N
256.25	0.77501
256.50	0.72395
256.75	0.67594
257.00	0.63513
257.25	0.59701
257.50	0.55929
257.75	0.52808
258.00	0.49731
258.25	0.47141
258.50	0.45092
258.75	0.42777
259.00	0.40812
259.25	0.39390
259.50	0.37983
259.75	0.36782
260.00	0.35691
260.25	0.34857
260.50	0.33866
260.75	0.33081
261.00	0.32484
261.25	0.31909
261.50	0.31498
261.75	0.31224
262.00	0.30720
262.25	0.30526
262.50	0.30129
262.75	0.30134
263.00	0.29675
263.25	0.29420
263.50	0.29651
263.75	0.29288
264.00	0.29022
264.25	0.28615
264.50	0.28146
264.75	0.27712
265.00	0.27040
265.25	0.26494
265.50	0.25668
265.75	0.25084
266.00	0.24201
266.25	0.23669
266.50	0.23090
266.75	0.22496
267.00	0.21644
267.25	0.20917
267.50	0.20217
267.75	0.19407
268.00	0.18860
268.25	0.17987
268.50	0.17435
268.75	0.16767
269.00	0.15935
269.25	0.15453
269.50	0.14747
269.75	0.14125
270.00	0.13538
270.25	0.12788
270.50	0.12185
270.75	0.11739
271.00	0.11471
271.25	0.10894
271.50	0.10378
271.75	0.10218
272.00	0.095766
272.25	0.095551
272.50	0.090246
272.75	0.086390
273.00	0.084905
273.25	0.082892
273.50	0.077470
273.75	0.075904
274.00	0.073775
274.25	0.071923
274.50	0.070339
274.75	0.069758
275.00	0.066036
275.25	0.064300
275.50	0.063799
275.75	0.060256
276.00	0.059639
276.25	0.058583
276.50	0.056364
276.75	0.055255
277.00	0.053618
277.25	0.053305
277.50	0.052508
277.75	0.051140
278.00	0.051632
278.25	0.049547
278.50	0.051184
278.75	0.050567
279.00	0.050209
279.25	0.049180
279.50	0.046094
279.75	0.045986
280.00	0.047561
280.25	0.047436
280.50	0.045933
280.75	0.045700
281.00	0.045083
281.25	0.043589
281.50	0.043463
281.75	0.040350
282.00	0.039670
282.25	0.039124
282.50	0.039509
282.75	0.038158
283.00	0.035760
283.25	0.036386
283.50	0.035116
283.75	0.032942
284.00	0.033416
284.25	0.032790
284.50	0.031967
284.75	0.033389
285.00	0.032387
285.25	0.033228
285.50	0.031645
285.75	0.031296
286.00	0.031036
286.25	0.031564
286.50	0.032906
286.75	0.031546
287.00	0.030383
287.25	0.031868
287.50	0.031018
287.75	0.030499
288.00	0.028370
288.25	0.029533
288.50	0.029426
288.75	0.028469
289.00	0.030446
289.25	0.028075
289.50	0.028218
289.75	0.027529
290.00	0.028155
290.25	0.028728
290.50	0.030732
290.75	0.030804
291.00	0.031591
291.25	0.031949
291.50	0.031135
291.75	0.032629
292.00	0.030142
292.25	0.031501
292.50	0.031367
292.75	0.032155
293.00	0.031833
293.25	0.029023
293.50	0.028307
293.75	0.026831
294.00	0.027976
294.25	0.026429
294.50	0.025069
294.75	0.026160
295.00	0.024067
295.25	0.023038
295.50	0.023557
295.75	0.020649
296.00	0.021204
296.25	0.019361
296.50	0.020676
296.75	0.017428
297.00	0.019182
297.25	0.018573
297.50	0.017509
297.75	0.017634
298.00	0.017455
298.25	0.017401
298.50	0.018341
298.75	0.018305
299.00	0.014682
299.25	0.016462
299.50	0.012678
299.75	0.014413
300.00	0.016158
300.25	0.013751
300.50	0.013313
300.75	0.012221
301.00	0.014082
301.25	0.013850
301.50	0.012060
301.75	0.011747
302.00	0.012794
302.25	0.011112
302.50	0.010316
302.75	0.013554
303.00	0.011398
303.25	0.012570
303.50	0.011917
303.75	0.011174
304.00	0.011899
304.25	0.011309
304.50	0.012329
304.75	0.010861
305.00	0.012686
305.25	0.010369
305.50	0.010870
305.75	0.010011
306.00	0.011201
306.25	0.012060
306.50	0.010020
306.75	0.013009
307.00	0.0099756
307.25	0.010557
307.50	0.011899
307.75	0.011729
308.00	0.011711
308.25	0.012669
308.50	0.012865
308.75	0.011559
309.00	0.010673
309.25	0.0098504
309.50	0.011416
309.75	0.0094209
310.00	0.010996
310.25	0.012096
310.50	0.010978
310.75	0.013554
311.00	0.011917
311.25	0.011425
311.50	0.0096535
311.75	0.013626
312.00	0.0075421
312.25	0.018708
312.50	0.016757
312.75	0.018296
313.00	0.011550
313.25	0.010307
313.50	0.0095372
313.75	0.015218
314.00	0.0098325
314.25	0.011729
314.50	0.0064506
314.75	0.012069
315.00	0.015997
315.25	0.0099935
315.50	0.0057170
315.75	0.011792
316.00	0.014780
316.25	0.014127
316.50	0.013214
316.75	0.014503
317.00	0.016972
317.25	0.0096356
317.50	0.013161
317.75	0.011192
318.00	0.0090988
318.25	0.019361
318.50	0.012982
318.75	0.018690
319.00	0.010244
319.25	0.016346
319.50	0.0084368
319.75	0.010566
320.00	0.012821
320.25	0.013841
320.50	0.010790
320.75	0.010566
321.00	0.014377
321.25	0.016784
321.50	0.016059
321.75	0.018913
322.00	0.021955
322.25	0.019397
322.50	0.018618
322.75	0.020801
323.00	0.012472
323.25	0.018922
323.50	0.015934
323.75	0.017482
324.00	0.021419
324.25	0.014136
324.50	0.023432
324.75	0.016623
325.00	0.021714
325.25	0.019629
325.50	0.016963
325.75	0.021061
326.00	0.022394
326.25	0.021776
326.50	0.020783
326.75	0.016569
327.00	0.021750
327.25	0.017974
327.50	0.020220
327.75	0.018117
328.00	0.021937
328.25	0.021571
328.50	0.020264
328.75	0.023682
329.00	0.023083
329.25	0.018099
329.50	0.019021
329.75	0.022787
330.00	0.025176
330.25	0.019182
330.50	0.019388
330.75	0.020381
331.00	0.016480
331.25	0.022743
331.50	0.026321
331.75	0.024917
332.00	0.021803
332.25	0.021347
332.50	0.024872
332.75	0.028245
333.00	0.022474
333.25	0.027878
333.50	0.022743
333.75	0.019969
334.00	0.024612
334.25	0.029819
334.50	0.023226
334.75	0.024952
335.00	0.024335
335.25	0.026634
335.50	0.027538
335.75	0.029113
336.00	0.024979
336.25	0.030616
336.50	0.030723
336.75	0.031958
337.00	0.030258
337.25	0.029310
337.50	0.030884
337.75	0.033148
338.00	0.029945
338.25	0.033622
338.50	0.033470
338.75	0.035152
339.00	0.035366
339.25	0.035760
339.50	0.033854
339.75	0.037120
340.00	0.035554
340.25	0.031654
340.50	0.037263
340.75	0.040037
341.00	0.030822
341.25	0.035000
341.50	0.036449
341.75	0.033219
342.00	0.035993
342.25	0.038212
342.50	0.037567
342.75	0.037335
343.00	0.036163
343.25	0.038954
343.50	0.035554
343.75	0.044796
344.00	0.036789
344.25	0.035966
344.50	0.036834
344.75	0.036351
345.00	0.038578
345.25	0.041298
345.50	0.036941
345.75	0.042587
346.00	0.041772
346.25	0.039894
346.50	0.038042
346.75	0.043141
347.00	0.041495
347.25	0.043410
347.50	0.044063
347.75	0.040609
348.00	0.041218
348.25	0.040815
348.50	0.043794
348.75	0.047078
349.00	0.044555
349.25	0.043392
349.50	0.045593
349.75	0.044224
350.00	0.046308
350.25	0.047149
350.50	0.048420
350.75	0.047946
351.00	0.047185
351.25	0.047123
351.50	0.052079
351.75	0.046953
352.00	0.047731
352.25	0.052168
352.50	0.050299
352.75	0.051712
353.00	0.052759
353.25	0.051972
353.50	0.056964
353.75	0.050272
354.00	0.053162
354.25	0.052061
354.50	0.054298
354.75	0.054414
355.00	0.056776
355.25	0.058977
355.50	0.059711
355.75	0.064139
356.00	0.062180
356.25	0.063495
356.50	0.069507
356.75	0.066412
357.00	0.068147
357.25	0.068586
357.50	0.069149
357.75	0.069140
358.00	0.073846
358.25	0.074186
358.50	0.074643
358.75	0.075332
359.00	0.076477
359.25	0.077058
359.50	0.079000
359.75	0.081657
360.00	0.084770
360.25	0.083285
360.50	0.091167
360.75	0.087571
361.00	0.088787
361.25	0.090532
361.50	0.094460
361.75	0.094299
362.00	0.095927
362.25	0.096634
362.50	0.099792
362.75	0.10138
363.00	0.10628
363.25	0.10764
363.50	0.10925
363.75	0.10999
364.00	0.10860
364.25	0.11302
364.50	0.11333
364.75	0.11284
365.00	0.11603
365.25	0.11981
365.50	0.11645
365.75	0.11743
366.00	0.11780
366.25	0.12045
366.50	0.12018
366.75	0.12479
367.00	0.12096
367.25	0.12363
367.50	0.12368
367.75	0.12519
368.00	0.12644
368.25	0.12716
368.50	0.12752
368.75	0.12760
369.00	0.12661
369.25	0.12389
369.50	0.12821
369.75	0.12827
370.00	0.12930
370.25	0.12576
370.50	0.12661
370.75	0.12697
371.00	0.12978
371.25	0.12465
371.50	0.12944
371.75	0.12704
372.00	0.12590
372.25	0.12848
372.50	0.13028
372.75	0.12931
373.00	0.12916
373.25	0.13519
373.50	0.13326
373.75	0.13281
374.00	0.13643
374.25	0.14154
374.50	0.14056
374.75	0.13910
375.00	0.14234
375.25	0.14711
375.50	0.14667
375.75	0.15351
376.00	0.15163
376.25	0.15895
376.50	0.16383
376.75	0.16600
377.00	0.17112
377.25	0.17591
377.50	0.18072
377.75	0.18175
378.00	0.18964
378.25	0.19337
378.50	0.19627
378.75	0.20174
379.00	0.20605
379.25	0.20887
379.50	0.21485
379.75	0.22438
380.00	0.23053
380.25	0.23364
380.50	0.23900
380.75	0.24715
381.00	0.25174
381.25	0.26040
381.50	0.26304
381.75	0.26315
382.00	0.27560
382.25	0.27383
382.50	0.28207
382.75	0.28489
383.00	0.28443
383.25	0.29168
383.50	0.29641
383.75	0.30193
384.00	0.30894
384.25	0.31292
384.50	0.31034
384.75	0.31704
385.00	0.32141
385.25	0.32595
385.50	0.32817
385.75	0.33225
386.00	0.33114
386.25	0.33479
386.50	0.33227
386.75	0.33765
387.00	0.33802
387.25	0.33132
387.50	0.33165
387.75	0.33277
388.00	0.33362
388.25	0.32563
388.50	0.32961
388.75	0.32194
389.00	0.31980
389.25	0.31741
389.50	0.31578
389.75	0.31430
390.00	0.31102
390.25	0.31276
390.50	0.30535
390.75	0.30703
391.00	0.29947
391.25	0.29747
391.50	0.29523
391.75	0.29004
392.00	0.28890
392.25	0.28830
392.50	0.28520
392.75	0.27849
393.00	0.28003
393.25	0.27893
393.50	0.27789
393.75	0.27514
394.00	0.27436
394.25	0.27578
394.50	0.27632
394.75	0.28036
395.00	0.28114
395.25	0.28486
395.50	0.28730
395.75	0.29518
396.00	0.30029
396.25	0.30672
396.50	0.31209
396.75	0.31992
397.00	0.32911
397.25	0.33744
397.50	0.34180
397.75	0.35018
398.00	0.35962
398.25	0.36696
398.50	0.37973
398.75	0.38483
399.00	0.39569
399.25	0.40671
399.50	0.41550
399.75	0.42589
400.00	0.43710
400.25	0.44785
400.50	0.45950
400.75	0.47131
401.00	0.47818
401.25	0.48797
401.50	0.49841
401.75	0.50813
402.00	0.51740
402.25	0.52821
402.50	0.53615
402.75	0.54341
403.00	0.55464
403.25	0.56197
403.50	0.57071
403.75	0.58022
404.00	0.59384
404.25	0.60431
404.50	0.61558
404.75	0.62699
405.00	0.63937
405.25	0.65171
405.50	0.66471
405.75	0.67319
406.00	0.68632
406.25	0.69522
406.50	0.70486
406.75	0.71253
407.00	0.71768
407.25	0.71954
407.50	0.72419
407.75	0.72814
408.00	0.72771
408.25	0.72977
408.50	0.72785
408.75	0.72261
409.00	0.72517
409.25	0.71723
409.50	0.71637
409.75	0.71502
410.00	0.70995
410.25	0.70264
410.50	0.70472
410.75	0.70300
411.00	0.69859
411.25	0.69001
411.50	0.68553
411.75	0.67959
412.00	0.67332
412.25	0.65971
412.50	0.64791
412.75	0.63074
413.00	0.61369
413.25	0.59741
413.50	0.57813
413.75	0.55795
414.00	0.54048
414.25	0.51848
414.50	0.50645
414.75	0.49621
415.00	0.47904
415.25	0.46258
415.50	0.44362
415.75	0.42563
416.00	0.40811
416.25	0.39521
416.50	0.38279
416.75	0.37049
417.00	0.36371
417.25	0.35478
417.50	0.34941
417.75	0.34735
418.00	0.34302
418.25	0.34292
418.50	0.34220
418.75	0.34354
419.00	0.34619
419.25	0.34630
419.50	0.35310
419.75	0.35697
420.00	0.36130
420.25	0.36499
420.50	0.37184
420.75	0.37887
421.00	0.38679
421.25	0.39625
421.50	0.40090
421.75	0.41084
422.00	0.41599
422.25	0.42885
422.50	0.43396
422.75	0.44609
423.00	0.45228
423.25	0.46215
423.50	0.46937
423.75	0.47897
424.00	0.48822
424.25	0.49728
424.50	0.51048
424.75	0.51734
425.00	0.53024
425.25	0.54868
425.50	0.55989
425.75	0.57313
426.00	0.58933
426.25	0.60796
426.50	0.62400
426.75	0.64098
427.00	0.66158
427.25	0.67879
427.50	0.69686
427.75	0.71606
428.00	0.73266
428.25	0.74770
428.50	0.76258
428.75	0.77481
429.00	0.78644
429.25	0.79265
429.50	0.79519
429.75	0.80035
430.00	0.80225
430.25	0.80251
430.50	0.79936
430.75	0.80069
431.00	0.80146
431.25	0.79986
431.50	0.79844
431.75	0.79783
432.00	0.80210
432.25	0.80741
432.50	0.81543
432.75	0.82711
433.00	0.84170
433.25	0.85356
433.50	0.87496
433.75	0.89085
434.00	0.90983
434.25	0.93058
434.50	0.95022
434.75	0.96830
435.00	0.97998
435.25	0.99511
435.50	0.99688
435.75	1.0000
436.00	0.98603
436.25	0.97023
436.50	0.94911
436.75	0.92221
437.00	0.88627
437.25	0.85025
437.50	0.80488
437.75	0.76345
438.00	0.71889
438.25	0.67591
438.50	0.62585
438.75	0.58208
439.00	0.53753
439.25	0.49856
439.50	0.45940
439.75	0.42457
440.00	0.38849
440.25	0.35813
440.50	0.33156
440.75	0.30493
441.00	0.28285
441.25	0.26208
441.50	0.24699
441.75	0.22964
442.00	0.21724
442.25	0.20424
442.50	0.19310
442.75	0.18266
443.00	0.17246
443.25	0.16418
443.50	0.15408
443.75	0.14892
444.00	0.13974
444.25	0.13235
444.50	0.12623
444.75	0.11955
445.00	0.11179
445.25	0.10423
445.50	0.098906
445.75	0.090469
446.00	0.086175
446.25	0.080834
446.50	0.075394
446.75	0.066725
447.00	0.065079
447.25	0.062028
447.50	0.055944
447.75	0.051149
448.00	0.048044
448.25	0.044904
448.50	0.042461
448.75	0.038158
449.00	0.037576
449.25	0.034767
449.50	0.032450
449.75	0.029471
450.00	0.027681
450.25	0.026277
450.50	0.024720
450.75	0.024702
451.00	0.022769
451.25	0.019397
451.50	0.021159
451.75	0.019173
452.00	0.018672
452.25	0.017249
452.50	0.015013
452.75	0.016068
453.00	0.015603
453.25	0.013510
453.50	0.013876
453.75	0.012508
454.00	0.013572
454.25	0.012230
454.50	0.0099040
454.75	0.010736
455.00	0.010933
455.25	0.011192
455.50	0.0074705
455.75	0.0092688
456.00	0.0061733
456.25	0.0096267
456.50	0.0088662
456.75	0.0091973
457.00	0.0075600
457.25	0.0070948
457.50	0.0043660
457.75	0.0075600
458.00	0.0068622
458.25	0.0056722
458.50	0.0047865
458.75	0.0062627
459.00	0.0056007
459.25	0.0045539
459.50	0.0075958
459.75	0.0056722
460.00	0.0061464
460.25	0.0047597
460.50	0.0055201
460.75	0.0048044
461.00	0.0033908
461.25	0.0047507
461.50	0.0049475
461.75	0.0032924
462.00	0.0016730
462.25	0.0036413
462.50	0.0033282
462.75	0.0037845
463.00	0.0035340
463.25	0.0052607
463.50	0.0038024
463.75	0.0026572
464.00	0.0031671
464.25	0.0025498
464.50	0.0038918
464.75	0.0037934
465.00	0.0044286
465.25	0.0037934
465.50	0.0016820
465.75	0.0036324
466.00	0.0025409
466.25	0.0054844
466.50	0.0025319
466.75	0.0027377
467.00	0.0020130
467.25	0.0027824
467.50	0.0014583
467.75	0.0023977
468.00	0.0035340
468.25	0.0020488
468.50	0.0021293
468.75	0.0028272
469.00	0.0023888
469.25	0.0022009
469.50	0.0032029
469.75	0.0027019
470.00	0.0030508
470.25	0.00086783
470.50	0.0014225
470.75	0.00086783
471.00	0.0021293
471.25	0.0032298
471.50	0.0014136
471.75	0.00072469
472.00	0.0010289
472.25	0.0026840
472.50	0.0024067
472.75	0.0013062
473.00	0.0022904
473.25	0.0033013
473.50	0.0023262
473.75	0.0011631
474.00	0.00047418
474.25	0.0014941
474.50	0.0024961
474.75	0.0018967
475.00	0.0030151
475.25	0.0028003
475.50	0.0017357
475.75	0.0029524
476.00	0.0015120
476.25	0.0026482
476.50	-4.4734e-05
476.75	0.0017446
477.00	0.0016015
477.25	0.0011810
477.50	0.0011989
477.75	0.0015478
478.00	-0.00021472
478.25	-0.00084994
478.50	0.0021114
478.75	6.2627e-05
479.00	0.0020041
479.25	0.0035429
479.50	-0.00020578
479.75	0.0029703
480.00	0.00067995
480.25	0.0012525
480.50	0.00073363
480.75	0.0020399
481.00	0.0017983
481.25	-0.00012525
481.50	0.0021651
481.75	-0.00054575
482.00	0.0019772
482.25	-0.0013241
482.50	0.0037845
482.75	0.0017088
483.00	0.00096625
483.25	0.00040260
483.50	0.0012883
483.75	-0.00033103
484.00	0.0018609
484.25	0.0013599
484.50	0.0021204
484.75	-0.00056364
485.00	0.0022098
485.25	0.0014046
485.50	0.00077837
485.75	-0.00074258
486.00	0.00017893
486.25	0.00031314
486.50	0.00083205
486.75	0.0017715
487.00	-0.00016999
487.25	0.00095730
487.50	0.0014852
487.75	0.0012347
488.00	0.0012704
488.25	-1.7893e-05
488.50	0.0021562
488.75	0.0017088
489.00	0.0021472
489.25	0.0014404
489.50	0.00014315
489.75	0.0020756
490.00	0.00047418
490.25	0.00010736
490.50	-0.00038471
490.75	0.0013241
491.00	0.00051891
491.25	0.00016999
491.50	0.0012347
491.75	0.0031224
492.00	0.00072469
492.25	0.0013778
492.50	0.00030419
492.75	0.0015746
493.00	0.0028451
493.25	0.0024246
493.50	0.00068890
493.75	0.0017625
494.00	0.00080521
494.25	-0.00033103
494.50	0.00052786
494.75	0.00067995
495.00	0.00087678
495.25	0.00071574
495.50	0.0027109
495.75	0.00079626
496.00	0.0026393
496.25	-0.00032208
496.50	0.0016551
496.75	-0.00058154
497.00	0.00096625
497.25	0.0014494
497.50	0.0024514
497.75	0.0027824
498.00	-0.0017446
498.25	0.0019772
498.50	-0.0011720
498.75	0.0012257
499.00	-0.0012525
499.25	0.0031045
499.50	0.0025319
499.75	0.00017893
500.00	0.00094835
