Wavelength (nm)	P03 abs N
480.75	0.41465
481.00	0.41639
481.25	0.41676
481.50	0.41747
481.75	0.42056
482.00	0.42261
482.25	0.42407
482.50	0.42691
482.75	0.42832
483.00	0.43030
483.25	0.43283
483.50	0.43423
483.75	0.43676
484.00	0.43924
484.25	0.44201
484.50	0.44428
484.75	0.44621
485.00	0.44823
485.25	0.45240
485.50	0.45340
485.75	0.45748
486.00	0.46049
486.25	0.46363
486.50	0.46875
486.75	0.47089
487.00	0.47564
487.25	0.47851
487.50	0.48314
487.75	0.48779
488.00	0.49168
488.25	0.49761
488.50	0.50402
488.75	0.50791
489.00	0.51469
489.25	0.52029
489.50	0.52779
489.75	0.53236
490.00	0.54302
490.25	0.54915
490.50	0.55737
490.75	0.56241
491.00	0.57287
491.25	0.57976
491.50	0.59013
491.75	0.59845
492.00	0.61114
492.25	0.61664
492.50	0.62872
492.75	0.64004
493.00	0.64890
493.25	0.66067
493.50	0.67145
493.75	0.67977
494.00	0.69156
494.25	0.70238
494.50	0.70800
494.75	0.71315
495.00	0.72174
495.25	0.73275
495.50	0.74640
495.75	0.75621
496.00	0.76862
496.25	0.78024
496.50	0.79239
496.75	0.80612
497.00	0.81526
497.25	0.82893
497.50	0.84127
497.75	0.85045
498.00	0.86382
498.25	0.87038
498.50	0.88327
498.75	0.89626
499.00	0.90759
499.25	0.91222
499.50	0.92156
499.75	0.93436
500.00	0.94326
500.25	0.95108
500.50	0.95576
500.75	0.96583
501.00	0.97230
501.25	0.97808
501.50	0.98289
501.75	0.98374
502.00	0.98947
502.25	0.99201
502.50	0.99378
502.75	1.0000
503.00	0.99963
503.25	0.99478
503.50	0.99875
503.75	0.99479
504.00	0.99451
504.25	0.99238
504.50	0.98650
504.75	0.98619
505.00	0.98259
505.25	0.97695
505.50	0.96713
505.75	0.96059
506.00	0.95445
506.25	0.94511
506.50	0.93473
506.75	0.92845
507.00	0.91895
507.25	0.90540
507.50	0.89512
507.75	0.88373
508.00	0.86950
508.25	0.85987
508.50	0.84711
508.75	0.83394
509.00	0.81969
509.25	0.80524
509.50	0.79296
509.75	0.77474
510.00	0.75740
510.25	0.74499
510.50	0.72834
510.75	0.71098
511.00	0.69705
511.25	0.68031
511.50	0.66849
511.75	0.64892
512.00	0.63123
512.25	0.61706
512.50	0.60102
512.75	0.58451
513.00	0.56781
513.25	0.55634
513.50	0.53995
513.75	0.52310
514.00	0.50808
514.25	0.49285
514.50	0.48107
514.75	0.46450
515.00	0.44918
515.25	0.43129
515.50	0.41339
515.75	0.39656
516.00	0.38164
516.25	0.36572
516.50	0.35427
516.75	0.33949
517.00	0.33056
517.25	0.31886
517.50	0.30766
517.75	0.29654
518.00	0.28693
518.25	0.27503
518.50	0.26824
518.75	0.25717
519.00	0.24722
519.25	0.23872
519.50	0.23123
519.75	0.22232
520.00	0.21412
520.25	0.20697
520.50	0.19841
520.75	0.18902
521.00	0.18245
521.25	0.17647
521.50	0.17001
521.75	0.16482
522.00	0.15677
522.25	0.15019
522.50	0.14462
522.75	0.13860
523.00	0.13558
523.25	0.12755
523.50	0.12366
523.75	0.11850
524.00	0.11482
524.25	0.10943
524.50	0.10405
524.75	0.10080
525.00	0.097392
525.25	0.093401
525.50	0.088995
525.75	0.085994
526.00	0.080924
526.25	0.077082
526.50	0.075109
526.75	0.070178
527.00	0.068688
527.25	0.066227
527.50	0.063838
527.75	0.061889
528.00	0.058584
528.25	0.055713
528.50	0.054481
528.75	0.050996
529.00	0.047505
529.25	0.045913
529.50	0.045295
529.75	0.043844
530.00	0.041716
530.25	0.039929
530.50	0.038409
530.75	0.037128
531.00	0.035079
531.25	0.032952
531.50	0.032789
531.75	0.031144
532.00	0.029313
532.25	0.028631
532.50	0.027657
532.75	0.026232
533.00	0.025233
533.25	0.024091
533.50	0.022618
533.75	0.021339
534.00	0.021028
534.25	0.020235
534.50	0.020674
534.75	0.019569
535.00	0.017852
535.25	0.018343
535.50	0.017221
535.75	0.016434
536.00	0.014643
536.25	0.015613
536.50	0.015070
536.75	0.013547
537.00	0.013946
537.25	0.013425
537.50	0.012744
537.75	0.011945
538.00	0.012107
538.25	0.010746
538.50	0.010449
538.75	0.010282
539.00	0.010904
539.25	0.0099459
539.50	0.0099857
539.75	0.0083033
540.00	0.0078486
540.25	0.0074608
540.50	0.0084946
540.75	0.0071192
541.00	0.0080463
541.25	0.0060923
541.50	0.0063683
541.75	0.0060039
542.00	0.0052619
542.25	0.0060235
542.50	0.0056332
542.75	0.0066550
543.00	0.0059218
543.25	0.0047529
543.50	0.0043152
543.75	0.0052227
544.00	0.0039129
544.25	0.0033888
544.50	0.0055063
544.75	0.0041769
545.00	0.0037689
545.25	0.0048394
545.50	0.0044232
545.75	0.0034380
546.00	0.0029997
546.25	0.0036010
546.50	0.0035069
546.75	0.0031418
547.00	0.0033174
547.25	0.0031526
547.50	0.0037614
547.75	0.0026511
548.00	0.0032713
548.25	0.0022609
548.50	0.0028381
548.75	0.0015883
549.00	0.0018491
549.25	0.0023284
549.50	0.0022533
549.75	0.0015971
550.00	0.0025823
550.25	0.0030250
550.50	0.0016881
550.75	0.0024200
551.00	0.0027421
551.25	0.0017544
551.50	0.0010793
551.75	0.0010919
552.00	0.0014070
552.25	0.0011734
552.50	0.0018750
552.75	0.0013426
553.00	0.00081782
553.25	0.0019236
553.50	0.0018466
553.75	0.00084309
554.00	0.0024762
554.25	0.0016710
554.50	0.00054248
554.75	0.0013066
555.00	0.0015744
555.25	0.0018011
555.50	0.0020171
555.75	0.0019097
556.00	0.0011260
556.25	0.00061005
556.50	0.00023303
556.75	0.00069531
557.00	0.0021510
557.25	0.0014342
557.50	0.0010578
557.75	0.0014607
558.00	0.0010281
558.25	0.00093718
558.50	0.00062900
558.75	0.00059805
559.00	0.0012264
559.25	0.0023632
559.50	0.00069531
559.75	0.0010313
560.00	0.00025008
560.25	0.00083298
560.50	0.0013079
560.75	0.0025817
561.00	0.00044649
561.25	0.00031513
561.50	0.0020992
561.75	0.0010458
562.00	0.0013249
562.25	0.00069405
562.50	0.0011298
562.75	0.00062268
563.00	0.0013849
563.25	0.0014089
563.50	0.0013009
563.75	0.00075088
564.00	0.0010117
564.25	0.0016420
564.50	0.0011898
564.75	0.00092203
565.00	0.0012744
565.25	0.00091066
565.50	0.00033281
565.75	0.00092203
566.00	0.00039786
566.25	0.0014885
566.50	0.00086014
566.75	0.00045154
567.00	0.00097002
567.25	-0.00046354
567.50	0.00094666
567.75	-0.00033155
568.00	0.00028608
568.25	0.00028166
568.50	0.0010824
568.75	0.00036376
569.00	0.00088287
569.25	-4.4207e-05
569.50	3.5997e-05
569.75	0.0014399
570.00	0.0011045
570.25	0.0011273
570.50	0.0014241
570.75	0.00081214
571.00	-9.2203e-05
571.25	-0.00039849
571.50	0.00045975
571.75	0.00027850
572.00	0.0016508
572.25	-0.00077046
572.50	0.0015794
572.75	0.0014064
573.00	9.4729e-06
573.25	-0.00014462
573.50	0.0015314
573.75	0.00064289
574.00	0.0011607
574.25	0.00015599
574.50	0.00089235
574.75	-0.00011746
575.00	0.0013489
575.25	0.0014664
575.50	-0.00017114
575.75	0.00062395
576.00	-0.00033976
576.25	0.00044207
576.50	0.00087150
576.75	0.0011203
577.00	0.00010420
577.25	0.0014601
577.50	-0.00017241
577.75	0.0014733
578.00	0.0014487
578.25	0.00023872
578.50	0.00053490
578.75	0.00053490
579.00	0.0019400
579.25	0.00093466
579.50	-0.00030124
579.75	0.00051911
580.00	0.0021466
580.25	0.0020285
580.50	0.00053174
580.75	0.0015927
581.00	0.00043638
581.25	0.0019154
581.50	0.00014588
581.75	0.00084435
582.00	0.00080898
582.25	0.00016167
582.50	0.0018750
582.75	-0.00025640
583.00	0.00050080
583.25	0.0014481
583.50	0.0016773
583.75	-0.00033408
584.00	0.0013780
584.25	0.0019243
584.50	0.0021693
584.75	0.00033471
585.00	0.00088792
585.25	0.0013508
585.50	0.0010420
585.75	0.0010862
586.00	0.0010458
586.25	0.00022988
586.50	-6.3153e-06
586.75	0.00051469
