Wavelength (nm)	C09 abs N
445.00	0.35805
445.25	0.36062
445.50	0.36319
445.75	0.36422
446.00	0.36802
446.25	0.37093
446.50	0.37241
446.75	0.37621
447.00	0.37886
447.25	0.38026
447.50	0.38341
447.75	0.38625
448.00	0.38845
448.25	0.39128
448.50	0.39398
448.75	0.39745
449.00	0.39777
449.25	0.39859
449.50	0.40317
449.75	0.40413
450.00	0.40403
450.25	0.40550
450.50	0.40526
450.75	0.40575
451.00	0.40577
451.25	0.40688
451.50	0.40630
451.75	0.40451
452.00	0.40491
452.25	0.40410
452.50	0.40348
452.75	0.40220
453.00	0.40235
453.25	0.40185
453.50	0.40062
453.75	0.39859
454.00	0.39692
454.25	0.39607
454.50	0.39788
454.75	0.39590
455.00	0.39474
455.25	0.39403
455.50	0.39281
455.75	0.39260
456.00	0.39174
456.25	0.39122
456.50	0.38867
456.75	0.38744
457.00	0.38724
457.25	0.38603
457.50	0.38478
457.75	0.38380
458.00	0.38242
458.25	0.38150
458.50	0.37954
458.75	0.37841
459.00	0.37645
459.25	0.37565
459.50	0.37160
459.75	0.37082
460.00	0.36921
460.25	0.36629
460.50	0.36335
460.75	0.36088
461.00	0.35862
461.25	0.35600
461.50	0.35384
461.75	0.34974
462.00	0.34732
462.25	0.34417
462.50	0.34129
462.75	0.33842
463.00	0.33438
463.25	0.33164
463.50	0.32876
463.75	0.32413
464.00	0.31835
464.25	0.31612
464.50	0.31085
464.75	0.30663
465.00	0.30140
465.25	0.29720
465.50	0.29257
465.75	0.28704
466.00	0.28112
466.25	0.27460
466.50	0.26933
466.75	0.26151
467.00	0.25504
467.25	0.24859
467.50	0.24045
467.75	0.23316
468.00	0.22546
468.25	0.21803
468.50	0.20957
468.75	0.20062
469.00	0.19336
469.25	0.18475
469.50	0.17601
469.75	0.16783
470.00	0.16017
470.25	0.15229
470.50	0.14397
470.75	0.13573
471.00	0.12777
471.25	0.12130
471.50	0.11451
471.75	0.10745
472.00	0.10173
472.25	0.095870
472.50	0.089325
472.75	0.084112
473.00	0.079523
473.25	0.074863
473.50	0.069619
473.75	0.067240
474.00	0.061665
474.25	0.058275
474.50	0.054791
474.75	0.052107
475.00	0.047769
475.25	0.043969
475.50	0.041295
475.75	0.037719
476.00	0.035666
476.25	0.033713
476.50	0.031612
476.75	0.030158
477.00	0.028755
477.25	0.027579
477.50	0.025247
477.75	0.023772
478.00	0.022518
478.25	0.021397
478.50	0.019770
478.75	0.019305
479.00	0.018075
479.25	0.017906
479.50	0.016306
479.75	0.015401
480.00	0.015387
480.25	0.013838
480.50	0.013333
480.75	0.013059
481.00	0.011988
481.25	0.011751
481.50	0.011280
481.75	0.010398
482.00	0.0098493
482.25	0.0087613
482.50	0.0085003
482.75	0.0076598
483.00	0.0086834
483.25	0.0070091
483.50	0.0075954
483.75	0.0080191
484.00	0.0069650
484.25	0.0069955
484.50	0.0058940
484.75	0.0059652
485.00	0.0059618
485.25	0.0053110
485.50	0.0049179
485.75	0.0046908
486.00	0.0050975
486.25	0.0045111
486.50	0.0047348
486.75	0.0032537
487.00	0.0045450
487.25	0.0039587
487.50	0.0035689
487.75	0.0038536
488.00	0.0024606
488.25	0.0036604
488.50	0.0032063
488.75	0.0033656
489.00	0.0020336
489.25	0.0031588
489.50	0.0033961
489.75	0.0037960
490.00	0.0034842
490.25	0.0017590
490.50	0.0028707
490.75	0.0023420
491.00	0.0023827
491.25	0.0013523
491.50	0.0025115
491.75	0.0027487
492.00	0.0021522
492.25	0.0023827
492.50	0.0022505
492.75	0.0014438
493.00	0.0023284
493.25	0.0025352
493.50	0.0024810
493.75	0.0015896
494.00	0.0018811
494.25	0.0019488
494.50	0.0016506
494.75	0.0021285
495.00	0.0019488
495.25	0.0017455
495.50	0.0019624
495.75	0.0020878
496.00	0.0020776
496.25	0.0025759
496.50	0.0027352
496.75	0.0014642
497.00	0.0015964
497.25	0.0018099
497.50	0.0016031
497.75	0.0010270
498.00	0.0016946
498.25	0.0014811
498.50	0.0027521
498.75	0.0011659
499.00	0.0017828
499.25	0.0020031
499.50	0.0015150
499.75	0.0017048
500.00	0.0015964
500.25	0.0010914
500.50	0.0012913
500.75	0.0018370
501.00	0.0019963
501.25	0.0021081
501.50	0.0010439
501.75	0.0013625
502.00	0.0016879
502.25	0.0013761
502.50	0.0010676
502.75	0.0020539
503.00	0.00091850
503.25	0.0016031
503.50	0.00088461
503.75	0.00092528
504.00	0.0016540
504.25	0.0011286
504.50	0.0017353
504.75	0.0011320
505.00	0.0014947
505.25	0.0010744
505.50	0.0017387
505.75	0.0010439
506.00	0.0010371
506.25	0.0019861
506.50	0.0015150
506.75	0.0013117
507.00	-0.00018980
507.25	0.00033554
507.50	0.0011591
507.75	0.0015455
508.00	0.0014269
508.25	0.0018607
508.50	0.0017218
508.75	0.0012168
509.00	0.0016641
509.25	0.0010202
509.50	0.0018844
509.75	0.0016302
510.00	0.0010846
510.25	0.0015828
510.50	0.00087444
510.75	0.0012066
511.00	0.0014167
511.25	0.0024301
511.50	0.0020031
511.75	0.0010303
512.00	0.0016438
512.25	0.00094900
512.50	0.0016370
512.75	0.0014574
513.00	0.00089138
513.25	0.0017794
513.50	0.00019658
513.75	0.0011049
514.00	0.00080326
514.25	0.0011456
514.50	0.0018844
514.75	0.0010914
515.00	0.0013964
515.25	5.0839e-05
515.50	0.0016269
515.75	0.0015116
516.00	0.0012032
516.25	0.00095917
516.50	0.0010812
516.75	0.0010744
517.00	0.0016540
517.25	0.0013625
517.50	0.00083038
517.75	0.0017828
518.00	0.0012235
518.25	0.0017624
518.50	0.0017590
518.75	0.00085749
519.00	0.0014913
519.25	0.00039655
519.50	0.0013049
519.75	0.0013354
520.00	0.0020573
520.25	0.0011422
520.50	0.00084732
520.75	0.0013218
521.00	0.0011354
521.25	0.0014676
521.50	0.0015387
521.75	0.0019387
522.00	0.0014540
522.25	0.0016065
522.50	0.00096934
522.75	0.00087783
523.00	0.0011930
523.25	-9.4900e-05
523.50	0.00075242
523.75	0.00090833
524.00	0.0010744
524.25	0.00031181
524.50	0.00095578
524.75	0.0012913
525.00	0.0015523
525.25	0.0016675
525.50	0.0012201
525.75	0.00087105
526.00	0.0016506
526.25	0.0012235
526.50	0.00042366
526.75	0.00016608
527.00	0.0022200
527.25	0.0012371
527.50	0.00042366
527.75	0.00052534
528.00	0.00060668
528.25	0.0018777
528.50	0.00066769
528.75	0.0016506
529.00	0.00058296
529.25	0.0014303
529.50	0.00076937
529.75	-0.00025420
530.00	0.0016235
530.25	0.00033554
530.50	0.0015930
530.75	0.00034571
531.00	-0.00014235
531.25	0.00090155
531.50	0.0011388
531.75	0.0014438
532.00	0.0010473
532.25	0.0011625
532.50	0.0012812
532.75	0.0011422
533.00	0.0011015
533.25	-1.6946e-05
533.50	0.00069480
533.75	0.0014269
534.00	0.0012439
534.25	0.00054229
534.50	0.00030504
534.75	0.0018472
535.00	0.0010032
535.25	0.00084732
535.50	-0.00015591
535.75	0.0018268
536.00	0.00054229
536.25	0.0017590
536.50	-9.1511e-05
536.75	0.00054229
537.00	0.0011625
537.25	0.00055245
537.50	0.0016641
537.75	0.00091172
538.00	0.00089816
538.25	0.00097273
538.50	0.00040333
538.75	0.0010270
539.00	0.00072531
539.25	0.0015997
539.50	0.00025081
539.75	0.0012845
540.00	0.00024742
540.25	0.0010032
540.50	0.0014438
540.75	0.00096934
541.00	0.00092867
541.25	-0.00018980
541.50	0.0012371
541.75	0.00045755
542.00	0.00054568
542.25	0.0018946
542.50	0.00095917
542.75	0.00085749
543.00	7.4564e-05
543.25	0.00030165
543.50	0.00013557
543.75	0.00041349
544.00	0.0015896
544.25	0.0010405
544.50	0.00085071
544.75	0.00036604
545.00	0.00041349
545.25	0.00088461
545.50	0.0011591
545.75	0.00094561
