Wavelength (nm)	S08 abs  N
813.00	0.16167
814.00	0.16390
815.00	0.16490
816.00	0.16640
817.00	0.16700
818.00	0.16836
819.00	0.16944
820.00	0.17002
821.00	0.17080
822.00	0.17197
823.00	0.17310
824.00	0.17404
825.00	0.17486
826.00	0.17707
827.00	0.18015
828.00	0.18330
829.00	0.18818
830.00	0.19199
831.00	0.19850
832.00	0.20618
833.00	0.21523
834.00	0.22559
835.00	0.23693
836.00	0.25138
837.00	0.26654
838.00	0.28417
839.00	0.30422
840.00	0.32571
841.00	0.35043
842.00	0.37588
843.00	0.40469
844.00	0.43525
845.00	0.46696
846.00	0.50031
847.00	0.53430
848.00	0.57361
849.00	0.61379
850.00	0.64835
851.00	0.68676
852.00	0.72916
853.00	0.76259
854.00	0.79845
855.00	0.83276
856.00	0.86584
857.00	0.89483
858.00	0.92050
859.00	0.94327
860.00	0.96315
861.00	0.97359
862.00	0.99091
863.00	0.99887
864.00	0.99833
865.00	1.00000
866.00	0.99617
867.00	0.98918
868.00	0.97751
869.00	0.95305
870.00	0.93668
871.00	0.91301
872.00	0.89036
873.00	0.86282
874.00	0.82693
875.00	0.80379
876.00	0.76567
877.00	0.73376
878.00	0.69472
879.00	0.66261
880.00	0.62776
881.00	0.59636
882.00	0.55895
883.00	0.52740
884.00	0.49213
885.00	0.46019
886.00	0.43030
887.00	0.40161
888.00	0.37299
889.00	0.34585
890.00	0.31923
891.00	0.29517
892.00	0.27237
893.00	0.25154
894.00	0.23072
895.00	0.21183
896.00	0.19440
897.00	0.17855
898.00	0.16360
899.00	0.14918
900.00	0.13537
901.00	0.12458
902.00	0.11339
903.00	0.10339
904.00	0.094017
905.00	0.085843
906.00	0.078059
907.00	0.071638
908.00	0.065119
909.00	0.059367
910.00	0.054417
911.00	0.049443
912.00	0.045588
913.00	0.042285
914.00	0.038761
915.00	0.035360
916.00	0.032140
917.00	0.029259
918.00	0.027057
919.00	0.025185
920.00	0.023162
921.00	0.022071
922.00	0.019913
923.00	0.018879
924.00	0.017898
925.00	0.015817
926.00	0.014992
927.00	0.013998
928.00	0.013337
929.00	0.011966
930.00	0.011006
931.00	0.010900
932.00	0.010081
933.00	0.0090890
934.00	0.0092989
935.00	0.0088604
936.00	0.0084602
937.00	0.0082244
938.00	0.0071299
939.00	0.0068804
940.00	0.0065833
941.00	0.0057102
942.00	0.0066893
943.00	0.0047498
