Wavelength (nm)	O01 abs N
488.25	0.0011524
488.50	0.0031764
488.75	0.0017655
489.00	0.0031911
489.25	0.0040997
489.50	0.0020905
489.75	0.0024672
490.00	0.0028661
490.25	0.0029622
490.50	0.0017655
490.75	0.0019945
491.00	0.0017064
491.25	0.0019280
491.50	0.0021348
491.75	0.0020536
492.00	0.0032872
492.25	0.0022752
492.50	0.0018837
492.75	0.0011302
493.00	0.0022161
493.25	0.0037895
493.50	0.0027184
493.75	0.0020683
494.00	0.0019723
494.25	0.0031321
494.50	0.0022235
494.75	0.0014774
495.00	0.0028218
495.25	0.0023786
495.50	0.0030360
495.75	0.0015143
496.00	0.0025263
496.25	0.0039077
496.50	0.0030951
496.75	0.0039594
497.00	0.00098246
497.25	0.0031542
497.50	0.0029548
497.75	0.0043583
498.00	0.0013592
498.25	0.0026371
498.50	0.0033610
498.75	0.0010268
499.00	0.0024598
499.25	0.0018393
499.50	0.0037378
499.75	0.0011080
500.00	0.0026371
