Wavelength (nm)	F14 ems
717.50	0.029284
718.00	0.028847
718.50	0.028498
719.00	0.028150
719.50	0.027800
720.00	0.027369
720.50	0.027007
721.00	0.026676
721.50	0.026255
722.00	0.025981
722.50	0.025668
723.00	0.025244
723.50	0.024826
724.00	0.024748
724.50	0.024049
725.00	0.023914
725.50	0.023506
726.00	0.023378
726.50	0.022814
727.00	0.022876
727.50	0.022258
728.00	0.021945
728.50	0.021922
729.00	0.021713
729.50	0.021196
730.00	0.021225
730.50	0.020582
731.00	0.020337
731.50	0.020020
732.00	0.019731
732.50	0.019551
733.00	0.019438
733.50	0.019136
734.00	0.018674
734.50	0.018402
735.00	0.018112
735.50	0.017921
736.00	0.017765
736.50	0.017611
737.00	0.017186
737.50	0.016999
738.00	0.016944
738.50	0.016745
739.00	0.016238
739.50	0.016165
740.00	0.015656
740.50	0.015649
741.00	0.015652
741.50	0.015359
742.00	0.015156
742.50	0.014868
743.00	0.014926
743.50	0.014522
744.00	0.014304
744.50	0.014161
745.00	0.014065
745.50	0.013539
746.00	0.013521
746.50	0.013372
747.00	0.013092
747.50	0.012874
748.00	0.012817
748.50	0.012264
749.00	0.012641
749.50	0.012095
750.00	0.012010
750.50	0.011885
751.00	0.011811
751.50	0.011440
752.00	0.011240
752.50	0.011078
753.00	0.010866
753.50	0.010851
754.00	0.010665
754.50	0.010401
755.00	0.010377
755.50	0.0098583
756.00	0.0099615
756.50	0.0098920
757.00	0.0096107
757.50	0.0094989
758.00	0.0095262
758.50	0.0093373
759.00	0.0092422
759.50	0.0090485
760.00	0.0087296
760.50	0.0086395
761.00	0.0085177
761.50	0.0082755
762.00	0.0085575
762.50	0.0083537
763.00	0.0081938
763.50	0.0081118
764.00	0.0081072
764.50	0.0077732
765.00	0.0076628
765.50	0.0075644
766.00	0.0076008
766.50	0.0074174
767.00	0.0072635
767.50	0.0071851
768.00	0.0070148
768.50	0.0068944
769.00	0.0068325
769.50	0.0066286
770.00	0.0065032
770.50	0.0063228
771.00	0.0063603
771.50	0.0064202
772.00	0.0062096
772.50	0.0060738
773.00	0.0060881
773.50	0.0059662
774.00	0.0058301
774.50	0.0057836
775.00	0.0056769
775.50	0.0056733
776.00	0.0056081
776.50	0.0054939
777.00	0.0054288
777.50	0.0053426
778.00	0.0051477
778.50	0.0052696
779.00	0.0051824
779.50	0.0049936
780.00	0.0050201
780.50	0.0048683
781.00	0.0048282
781.50	0.0047188
782.00	0.0047832
782.50	0.0045650
783.00	0.0046289
783.50	0.0044272
784.00	0.0043723
784.50	0.0042242
785.00	0.0043167
785.50	0.0041741
786.00	0.0042052
786.50	0.0040751
787.00	0.0040456
787.50	0.0038833
788.00	0.0037584
788.50	0.0036444
789.00	0.0038127
789.50	0.0037266
790.00	0.0036947
790.50	0.0036439
791.00	0.0036643
791.50	0.0035328
792.00	0.0034627
792.50	0.0034721
793.00	0.0032357
793.50	0.0034312
794.00	0.0033315
794.50	0.0031514
795.00	0.0029986
795.50	0.0031358
796.00	0.0031984
796.50	0.0030292
797.00	0.0028271
797.50	0.0030313
798.00	0.0028181
798.50	0.0028100
799.00	0.0027330
799.50	0.0027645
800.00	0.0025331
