Wavelength (nm)	I18 abs N
414.25	0.046784
414.50	0.046607
414.75	0.048799
415.00	0.045938
415.25	0.047977
415.50	0.044850
415.75	0.046373
416.00	0.046784
416.25	0.048871
416.50	0.048404
416.75	0.049718
417.00	0.048469
417.25	0.047904
417.50	0.050137
417.75	0.049629
418.00	0.049847
418.25	0.051160
418.50	0.049194
418.75	0.049855
419.00	0.048581
419.25	0.050894
419.50	0.050709
419.75	0.050282
420.00	0.049428
420.25	0.051418
420.50	0.050644
420.75	0.050129
421.00	0.053328
421.25	0.050620
421.50	0.051652
421.75	0.053070
422.00	0.053054
422.25	0.052853
422.50	0.052506
422.75	0.052264
423.00	0.050975
423.25	0.054303
423.50	0.053570
423.75	0.055528
424.00	0.055947
424.25	0.055004
424.50	0.056084
424.75	0.053836
425.00	0.054384
425.25	0.055278
425.50	0.054835
425.75	0.053731
426.00	0.055343
426.25	0.056826
426.50	0.055673
426.75	0.057744
427.00	0.055206
427.25	0.055947
427.50	0.055061
427.75	0.057954
428.00	0.060090
428.25	0.058002
428.50	0.057511
428.75	0.058881
429.00	0.059380
429.25	0.058526
429.50	0.059485
429.75	0.062000
430.00	0.061564
430.25	0.062403
430.50	0.060751
430.75	0.061436
431.00	0.062677
431.25	0.062387
431.50	0.060090
431.75	0.062137
432.00	0.063112
432.25	0.063507
432.50	0.064587
432.75	0.065119
433.00	0.063321
433.25	0.065949
433.50	0.065296
433.75	0.064917
434.00	0.066585
434.25	0.066335
434.50	0.068237
434.75	0.066432
435.00	0.067045
435.25	0.069470
435.50	0.068560
435.75	0.069672
436.00	0.071163
436.25	0.070163
436.50	0.069688
436.75	0.072186
437.00	0.071783
437.25	0.073000
437.50	0.073226
437.75	0.073041
438.00	0.075104
438.25	0.075071
438.50	0.075112
438.75	0.073492
439.00	0.075402
439.25	0.076949
439.50	0.077296
439.75	0.077070
440.00	0.078223
440.25	0.077691
440.50	0.078577
440.75	0.078682
441.00	0.079222
441.25	0.077803
441.50	0.082212
441.75	0.078996
442.00	0.080060
