Wavelength (nm)	J09 abs N
767.00	0.0040167
768.00	0.0040903
769.00	0.0035828
770.00	0.0034750
771.00	0.0036299
772.00	0.0036993
773.00	0.0029799
774.00	0.0032214
775.00	0.0034467
776.00	0.0036179
777.00	0.0031585
778.00	0.0030752
779.00	0.0032853
780.00	0.0032867
781.00	0.0029619
782.00	0.0029633
783.00	0.0032788
784.00	0.0027690
785.00	0.0025964
786.00	0.0029249
787.00	0.0030174
788.00	0.0026676
789.00	0.0025302
790.00	0.0030317
791.00	0.0027963
792.00	0.0026029
793.00	0.0028485
794.00	0.0026727
795.00	0.0024400
796.00	0.0026283
797.00	0.0024900
798.00	0.0024442
799.00	0.0024886
800.00	0.0026047
