Wavelength (nm)	N10 abs N
366.00	0.0015139
366.25	-0.00045111
366.50	-0.0010169
366.75	0.0016133
367.00	0.0011087
367.25	0.00062697
367.50	0.0022555
367.75	0.00057344
368.00	0.0040370
368.25	0.0028825
368.50	0.00043582
368.75	0.0021714
369.00	0.0011010
369.25	0.0015062
369.50	0.0064073
369.75	0.0015674
370.00	0.0032189
370.25	0.0050081
370.50	0.0027143
370.75	0.00073401
371.00	0.0063996
371.25	0.0025232
371.50	0.0050540
371.75	0.0037618
372.00	0.0024085
372.25	0.0020644
372.50	0.0028902
372.75	0.0042053
373.00	0.0017739
373.25	0.0073248
373.50	0.0038459
373.75	0.0058950
374.00	0.0041747
374.25	0.0024696
374.50	0.0019956
374.75	0.0049851
375.00	0.0038383
375.25	0.0060709
375.50	0.0075083
375.75	0.0053063
376.00	0.0070648
376.25	0.0069196
376.50	0.0050998
376.75	0.0058797
377.00	0.0063079
377.25	0.0042970
377.50	0.0058338
377.75	0.0063079
378.00	0.0047787
378.25	0.0029590
378.50	0.0057421
378.75	0.0068966
379.00	0.0069578
379.25	0.0047022
379.50	0.0094121
379.75	0.0070342
380.00	0.0067896
380.25	0.0058721
380.50	0.0061473
380.75	0.0092439
381.00	0.0074777
381.25	0.0063461
381.50	0.0074624
381.75	0.0077683
382.00	0.0081582
382.25	0.0059409
382.50	0.0059409
382.75	0.0053980
383.00	0.0060632
383.25	0.0071642
383.50	0.0070954
383.75	0.0050234
384.00	0.0072101
384.25	0.0098174
384.50	0.0042435
384.75	0.0079288
385.00	0.0050845
385.25	0.0057115
385.50	0.0089687
385.75	0.0056503
386.00	0.0080129
386.25	0.0080664
386.50	0.0074930
386.75	0.0064302
387.00	0.0071336
387.25	0.0065755
387.50	0.0084564
387.75	0.0092057
388.00	0.0083264
388.25	0.0070954
388.50	0.0069578
388.75	0.0059409
389.00	0.0061779
389.25	0.0048857
389.50	0.0076077
389.75	0.0038918
390.00	0.0060250
390.25	0.0071031
390.50	0.0031731
390.75	0.0063691
391.00	0.0049928
391.25	0.0086475
391.50	0.0052298
391.75	0.0035859
392.00	0.0047252
392.25	0.0038765
392.50	0.0050692
392.75	0.0063691
393.00	0.0032495
393.25	0.0062697
393.50	0.0055356
393.75	0.0037924
394.00	0.0063002
394.25	0.0064149
394.50	0.0043735
394.75	0.0053751
395.00	0.0044499
395.25	0.0035630
395.50	0.0057727
395.75	0.0058033
396.00	0.0067513
396.25	0.0045493
396.50	0.0046487
396.75	0.0030431
397.00	0.0045868
397.25	0.0049316
397.50	0.0045646
397.75	0.0022861
398.00	0.0054592
398.25	0.0048552
398.50	0.0064837
398.75	0.0060173
399.00	0.0041900
399.25	0.0036318
399.50	0.0041670
399.75	0.0037541
400.00	0.0042358
400.25	0.0052222
400.50	0.0027908
400.75	0.0056350
401.00	0.0033566
401.25	0.0046717
401.50	0.0036548
401.75	0.0034177
402.00	0.0027449
402.25	0.0033489
402.50	0.0048016
402.75	0.0034865
403.00	0.0042664
403.25	0.0037541
403.50	0.0041670
403.75	0.0025308
404.00	0.0025996
404.25	0.0011622
404.50	0.0039682
404.75	0.0040982
405.00	0.0032419
405.25	0.0040906
405.50	0.0046793
405.75	0.0040294
406.00	0.0042435
406.25	0.0041288
406.50	0.0037618
406.75	0.0022785
407.00	0.0031501
407.25	0.0033719
407.50	0.0048552
407.75	0.0026149
408.00	0.0035324
408.25	0.0042894
408.50	0.0037618
408.75	0.0020491
409.00	0.00099397
409.25	0.0030660
409.50	0.0038918
409.75	0.0022403
410.00	0.0062391
410.25	0.0043964
410.50	0.0020338
410.75	0.0042435
411.00	0.0034483
411.25	0.0053904
411.50	0.0042129
411.75	0.0025537
412.00	0.0028902
412.25	0.0044805
412.50	0.0036471
412.75	0.0031272
413.00	0.0029819
413.25	0.0038383
413.50	0.0029743
413.75	0.0036624
414.00	0.0030584
414.25	0.0036777
414.50	0.0041364
414.75	0.0024467
415.00	0.0032036
415.25	0.0030354
415.50	0.0037159
415.75	0.0045570
416.00	0.0035706
416.25	0.0046105
416.50	0.0039071
416.75	0.0044805
417.00	0.0037083
417.25	0.0035477
417.50	0.0044117
417.75	0.0043123
418.00	0.0042664
418.25	0.0036242
418.50	0.0038153
418.75	0.0032725
419.00	0.0039988
419.25	0.0040676
419.50	0.0047405
419.75	0.0038994
420.00	0.0053139
420.25	0.0051228
420.50	0.0032648
420.75	0.0024620
421.00	0.0053139
421.25	0.0043276
421.50	0.0040294
421.75	0.0059562
422.00	0.0059027
422.25	0.0036242
422.50	0.0045417
422.75	0.0037694
423.00	0.0046411
423.25	0.0057880
423.50	0.0056350
423.75	0.0063155
424.00	0.0071489
424.25	0.0076230
424.50	0.0079823
424.75	0.0064837
425.00	0.0062849
425.25	0.0081658
425.50	0.0066290
425.75	0.0053369
426.00	0.0063920
426.25	0.0065067
426.50	0.0076306
426.75	0.0087852
427.00	0.0085558
427.25	0.0076306
427.50	0.0061091
427.75	0.010376
428.00	0.0097715
428.25	0.0099932
428.50	0.0081276
428.75	0.0098862
429.00	0.0091292
429.25	0.010230
429.50	0.010895
429.75	0.011943
430.00	0.011132
430.25	0.011996
430.50	0.012570
430.75	0.011989
431.00	0.012868
431.25	0.013097
431.50	0.011125
431.75	0.014367
432.00	0.013648
432.25	0.013312
432.50	0.016225
432.75	0.016225
433.00	0.015506
433.25	0.015651
433.50	0.014780
433.75	0.014810
434.00	0.017998
434.25	0.017807
434.50	0.018962
434.75	0.018174
435.00	0.017326
435.25	0.020529
435.50	0.019551
435.75	0.020850
436.00	0.021600
436.25	0.022120
436.50	0.021714
436.75	0.023236
437.00	0.022915
437.25	0.025254
437.50	0.024849
437.75	0.026692
438.00	0.025759
438.25	0.026042
438.50	0.026814
438.75	0.024666
439.00	0.026982
439.25	0.027671
439.50	0.027586
439.75	0.029070
440.00	0.030217
440.25	0.030209
440.50	0.030125
440.75	0.032411
441.00	0.031555
441.25	0.030018
441.50	0.034491
441.75	0.032954
442.00	0.036043
442.25	0.034498
442.50	0.037778
442.75	0.036310
443.00	0.036999
443.25	0.037656
443.50	0.038742
443.75	0.038115
444.00	0.042435
444.25	0.040279
444.50	0.039476
444.75	0.042259
445.00	0.040623
445.25	0.042335
445.50	0.042947
445.75	0.041968
446.00	0.044476
446.25	0.045654
446.50	0.046923
446.75	0.047298
447.00	0.047802
447.25	0.046495
447.50	0.047214
447.75	0.049316
448.00	0.049981
448.25	0.049874
448.50	0.050578
448.75	0.052275
449.00	0.051748
449.25	0.053996
449.50	0.052803
449.75	0.055349
450.00	0.055372
450.25	0.057841
450.50	0.056243
450.75	0.058033
451.00	0.058445
451.25	0.059699
451.50	0.059539
451.75	0.059141
452.00	0.064080
452.25	0.062865
452.50	0.063522
452.75	0.065334
453.00	0.064555
453.25	0.065610
453.50	0.067070
453.75	0.068278
454.00	0.068171
454.25	0.068882
454.50	0.071443
454.75	0.069807
455.00	0.073118
455.25	0.073363
455.50	0.073179
455.75	0.075060
456.00	0.076696
456.25	0.077140
456.50	0.078585
456.75	0.080817
457.00	0.081353
457.25	0.082912
457.50	0.084365
457.75	0.083685
458.00	0.086108
458.25	0.087194
458.50	0.090688
458.75	0.091071
459.00	0.094886
459.25	0.095513
459.50	0.097516
459.75	0.098380
460.00	0.099825
460.25	0.10249
460.50	0.10382
460.75	0.10538
461.00	0.10639
461.25	0.10921
461.50	0.11127
461.75	0.11422
462.00	0.11522
462.25	0.11846
462.50	0.12249
462.75	0.12170
463.00	0.12454
463.25	0.12925
463.50	0.12907
463.75	0.13153
464.00	0.13540
464.25	0.13691
464.50	0.13929
464.75	0.14254
465.00	0.14413
465.25	0.14695
465.50	0.14937
465.75	0.15170
466.00	0.15459
466.25	0.15734
466.50	0.16009
466.75	0.16261
467.00	0.16634
467.25	0.16800
467.50	0.17096
467.75	0.17264
468.00	0.17569
468.25	0.18050
468.50	0.18288
468.75	0.18522
469.00	0.18722
469.25	0.19050
469.50	0.19470
469.75	0.19654
470.00	0.19902
470.25	0.20229
470.50	0.20454
470.75	0.20914
471.00	0.20987
471.25	0.21696
471.50	0.21685
471.75	0.22045
472.00	0.22410
472.25	0.22542
472.50	0.22893
472.75	0.23235
473.00	0.23565
473.25	0.23838
473.50	0.23846
473.75	0.24350
474.00	0.24536
474.25	0.24704
474.50	0.25075
474.75	0.25206
475.00	0.25609
475.25	0.25748
475.50	0.26280
475.75	0.26257
476.00	0.26678
476.25	0.26885
476.50	0.27129
476.75	0.27214
477.00	0.27526
477.25	0.27844
477.50	0.27735
477.75	0.28142
478.00	0.28035
478.25	0.28389
478.50	0.28558
478.75	0.28850
479.00	0.28889
479.25	0.29066
479.50	0.29227
479.75	0.29338
480.00	0.29465
480.25	0.29746
480.50	0.30052
480.75	0.30078
481.00	0.30187
481.25	0.30412
481.50	0.30411
481.75	0.30594
482.00	0.30591
482.25	0.30946
482.50	0.30898
482.75	0.31259
483.00	0.31244
483.25	0.31361
483.50	0.31666
483.75	0.31667
484.00	0.31926
484.25	0.32100
484.50	0.32469
484.75	0.32657
485.00	0.32379
485.25	0.32946
485.50	0.32961
485.75	0.33231
486.00	0.33409
486.25	0.33560
486.50	0.33719
486.75	0.34049
487.00	0.34498
487.25	0.34419
487.50	0.34855
487.75	0.35163
488.00	0.35456
488.25	0.35703
488.50	0.36113
488.75	0.36508
489.00	0.36649
489.25	0.37046
489.50	0.37368
489.75	0.37684
490.00	0.38064
490.25	0.38477
490.50	0.38955
490.75	0.39257
491.00	0.39789
491.25	0.40288
491.50	0.40720
491.75	0.41329
492.00	0.41605
492.25	0.42348
492.50	0.42696
492.75	0.43397
493.00	0.43987
493.25	0.44628
493.50	0.45404
493.75	0.45695
494.00	0.46417
494.25	0.47107
494.50	0.47903
494.75	0.48173
495.00	0.48601
495.25	0.49103
495.50	0.49939
495.75	0.50683
496.00	0.51382
496.25	0.52209
496.50	0.53012
496.75	0.53943
497.00	0.54665
497.25	0.55629
497.50	0.56335
497.75	0.56990
498.00	0.57986
498.25	0.58631
498.50	0.59749
498.75	0.60711
499.00	0.61999
499.25	0.62784
499.50	0.63689
499.75	0.64751
500.00	0.65681
500.25	0.66456
500.50	0.67420
500.75	0.68864
501.00	0.69599
501.25	0.70571
501.50	0.71716
501.75	0.72450
502.00	0.73683
502.25	0.74877
502.50	0.75969
502.75	0.76770
503.00	0.77790
503.25	0.78992
503.50	0.79769
503.75	0.80794
504.00	0.81586
504.25	0.82503
504.50	0.83727
504.75	0.84679
505.00	0.85640
505.25	0.86387
505.50	0.87517
505.75	0.88257
506.00	0.88966
506.25	0.90017
506.50	0.90601
506.75	0.91380
507.00	0.92299
507.25	0.92928
507.50	0.93726
507.75	0.94191
508.00	0.95258
508.25	0.95525
508.50	0.96300
508.75	0.96599
509.00	0.97372
509.25	0.97535
509.50	0.98208
509.75	0.98284
510.00	0.98839
510.25	0.99033
510.50	0.99376
510.75	0.99571
511.00	0.99697
511.25	0.99986
511.50	0.99952
511.75	1.0000
512.00	0.99986
512.25	0.99864
512.50	0.99873
512.75	0.99590
513.00	0.99061
513.25	0.98830
513.50	0.98629
513.75	0.98171
514.00	0.97359
514.25	0.97230
514.50	0.96542
514.75	0.95977
515.00	0.94900
515.25	0.94078
515.50	0.92975
515.75	0.92080
516.00	0.90903
516.25	0.89744
516.50	0.88969
516.75	0.87761
517.00	0.86616
517.25	0.85638
517.50	0.84350
517.75	0.83354
518.00	0.82058
518.25	0.80693
518.50	0.79340
518.75	0.78152
519.00	0.76999
519.25	0.75351
519.50	0.74282
519.75	0.72671
520.00	0.71426
520.25	0.69696
520.50	0.68480
520.75	0.67062
521.00	0.65586
521.25	0.64140
521.50	0.62917
521.75	0.61302
522.00	0.60038
522.25	0.58501
522.50	0.57194
