Wavelength (nm)	K10 abs 1
381.00	0.0017677
381.25	0.00078383
381.50	0.00060544
381.75	0.00062166
382.00	0.00077842
382.25	0.00081626
382.50	0.0015460
382.75	0.0015622
383.00	0.00055138
383.25	0.00055949
383.50	0.00074599
383.75	0.00058976
384.00	0.0025839
384.25	0.0021407
384.50	0.0022542
384.75	0.0013514
385.00	0.00054057
385.25	0.0013460
385.50	0.0010271
385.75	0.00080004
386.00	0.0018650
386.25	0.00080545
386.50	0.0023407
386.75	0.00083248
387.00	0.0021677
387.25	0.00094600
387.50	0.00093519
387.75	0.0016271
388.00	0.00083788
388.25	0.0016001
388.50	0.0017028
388.75	0.0016758
389.00	0.00059463
389.25	0.0017028
389.50	0.00072436
389.75	0.0010703
390.00	0.0014379
390.25	0.0016487
390.50	0.0012433
390.75	0.0022866
391.00	0.0016487
391.25	0.00065950
391.50	0.0027785
391.75	0.00085410
392.00	0.0021407
392.25	0.0027731
392.50	0.0016325
392.75	0.00055138
393.00	0.00076220
393.25	0.0022812
393.50	0.0011838
393.75	0.00057845
394.00	0.0018758
394.25	0.0014920
394.50	0.0011676
394.75	0.0020596
395.00	0.0011622
395.25	0.0022434
395.50	0.0015082
395.75	0.00081085
396.00	0.0013406
396.25	0.0022542
396.50	0.0017731
396.75	0.0010055
397.00	0.00056760
397.25	0.0017190
397.50	0.0018433
397.75	0.0016758
398.00	0.0023623
398.25	0.0025515
398.50	0.0017244
398.75	0.0023407
399.00	0.00071355
399.25	0.0023190
399.50	0.0011568
399.75	0.0016109
400.00	0.00076220
400.25	0.00059246
400.50	0.0014920
400.75	0.00082167
401.00	0.0015190
401.25	0.0017893
401.50	0.0022163
401.75	0.0036488
402.00	0.0015028
402.25	0.00078923
402.50	0.0021136
402.75	0.0025407
403.00	0.0023190
403.25	0.00084329
403.50	0.0020596
403.75	0.0035894
404.00	0.0025569
404.25	0.0024055
404.50	0.0020163
404.75	0.0026866
405.00	0.0029515
405.25	0.0021677
405.50	0.0020163
405.75	0.0019569
406.00	0.0032813
406.25	0.0018379
406.50	0.0017460
406.75	0.0017406
407.00	0.0031948
407.25	0.0019136
407.50	0.0028272
407.75	0.0015406
408.00	0.0032056
408.25	0.0022812
408.50	0.0034488
408.75	0.0018109
409.00	0.0036002
409.25	0.0033894
409.50	0.0030488
409.75	0.0034272
410.00	0.0041462
410.25	0.0034867
410.50	0.0027731
410.75	0.0025461
411.00	0.0036056
411.25	0.0030812
411.50	0.0033786
411.75	0.0050381
412.00	0.0019677
412.25	0.0034056
412.50	0.0034272
412.75	0.0032596
413.00	0.0028704
413.25	0.0033299
413.50	0.0040597
413.75	0.0040272
414.00	0.0033786
414.25	0.0036867
414.50	0.0038056
414.75	0.0041678
415.00	0.0042219
415.25	0.0031515
415.50	0.0039353
415.75	0.0046381
416.00	0.0044435
416.25	0.0039948
416.50	0.0041732
416.75	0.0041191
417.00	0.0039678
417.25	0.0038218
417.50	0.0043840
417.75	0.0047084
418.00	0.0037786
418.25	0.0052381
418.50	0.0056327
418.75	0.0052543
419.00	0.0055084
419.25	0.0053030
419.50	0.0060868
419.75	0.0053462
420.00	0.0056057
420.25	0.0057409
420.50	0.0056598
420.75	0.0066814
421.00	0.0070382
421.25	0.0076166
421.50	0.0065625
421.75	0.0069355
422.00	0.0072112
422.25	0.0073896
422.50	0.0062111
422.75	0.0065247
423.00	0.0072004
423.25	0.0058219
423.50	0.0075464
423.75	0.0066868
424.00	0.0075031
424.25	0.0080545
424.50	0.0076977
424.75	0.0077734
425.00	0.0082869
425.25	0.0070869
425.50	0.0069679
425.75	0.0070652
426.00	0.0080977
426.25	0.0087789
426.50	0.0085572
426.75	0.010006
427.00	0.0092113
427.25	0.010119
427.50	0.0094383
427.75	0.0084221
428.00	0.0091843
428.25	0.0096167
428.50	0.010449
428.75	0.010709
429.00	0.010363
429.25	0.010536
429.50	0.010676
429.75	0.011314
430.00	0.011536
430.25	0.012038
430.50	0.012941
430.75	0.011536
431.00	0.012649
431.25	0.012714
431.50	0.012666
431.75	0.013249
432.00	0.014163
432.25	0.012822
432.50	0.013184
432.75	0.012520
433.00	0.014082
433.25	0.014179
433.50	0.014514
433.75	0.015060
434.00	0.015304
434.25	0.014536
434.50	0.015309
434.75	0.015741
435.00	0.015774
435.25	0.017320
435.50	0.017250
435.75	0.017260
436.00	0.017493
436.25	0.018379
436.50	0.018785
436.75	0.018531
437.00	0.019736
437.25	0.017839
437.50	0.019628
437.75	0.018801
438.00	0.019844
438.25	0.019531
438.50	0.020190
438.75	0.021790
439.00	0.021693
439.25	0.021266
439.50	0.021682
439.75	0.020796
440.00	0.022136
440.25	0.024109
440.50	0.023401
440.75	0.024223
441.00	0.023731
441.25	0.023980
441.50	0.025785
441.75	0.024277
442.00	0.025823
442.25	0.026185
442.50	0.026234
442.75	0.028131
443.00	0.027877
443.25	0.027277
443.50	0.028369
443.75	0.029434
444.00	0.029823
444.25	0.029764
444.50	0.030418
444.75	0.031650
445.00	0.031456
445.25	0.032515
445.50	0.033153
445.75	0.032991
446.00	0.034186
446.25	0.034942
446.50	0.033737
446.75	0.034223
447.00	0.035283
