Wavelength (nm)	O-2, 67769-47-5, Lucifer Yellow CH.ems
579.00	0.71896
579.50	0.70982
580.00	0.71188
580.50	0.70249
581.00	0.70155
581.50	0.69440
582.00	0.69012
582.50	0.68327
583.00	0.68190
583.50	0.67226
584.00	0.67147
584.50	0.66811
585.00	0.66103
585.50	0.65274
586.00	0.64860
586.50	0.64312
587.00	0.64431
587.50	0.63593
588.00	0.63184
588.50	0.62498
589.00	0.61893
589.50	0.61504
590.00	0.61086
590.50	0.60453
591.00	0.60387
591.50	0.59235
592.00	0.59264
592.50	0.58706
593.00	0.58193
593.50	0.57276
594.00	0.57111
594.50	0.56571
595.00	0.56567
595.50	0.55711
596.00	0.55359
596.50	0.54825
597.00	0.54662
597.50	0.53506
598.00	0.53309
598.50	0.52949
599.00	0.52436
599.50	0.51540
600.00	0.51276
600.50	0.51148
601.00	0.50190
601.50	0.49831
602.00	0.49556
602.50	0.49249
603.00	0.48620
603.50	0.47879
604.00	0.48002
604.50	0.47161
605.00	0.46877
605.50	0.46152
606.00	0.46148
606.50	0.45564
607.00	0.45434
607.50	0.44658
608.00	0.44835
608.50	0.44056
609.00	0.43589
609.50	0.43026
610.00	0.42954
610.50	0.42442
611.00	0.42126
611.50	0.41448
612.00	0.41145
612.50	0.40760
613.00	0.40385
613.50	0.39919
614.00	0.39654
614.50	0.39112
615.00	0.39016
615.50	0.38321
616.00	0.38373
616.50	0.37772
617.00	0.37602
617.50	0.37012
618.00	0.36840
618.50	0.36622
619.00	0.36158
619.50	0.35864
620.00	0.35578
620.50	0.35194
621.00	0.35143
621.50	0.34192
622.00	0.33996
622.50	0.33769
623.00	0.33453
623.50	0.33149
624.00	0.32960
624.50	0.32620
625.00	0.32246
625.50	0.31562
626.00	0.31337
626.50	0.30855
627.00	0.30632
627.50	0.30083
628.00	0.29782
628.50	0.29661
629.00	0.29566
629.50	0.29230
630.00	0.28842
630.50	0.28736
631.00	0.28495
631.50	0.28257
632.00	0.27947
632.50	0.27507
633.00	0.27395
633.50	0.26859
634.00	0.26753
634.50	0.26488
635.00	0.26604
635.50	0.26114
636.00	0.25889
636.50	0.25230
637.00	0.24964
637.50	0.24930
638.00	0.24725
638.50	0.24570
639.00	0.24131
639.50	0.23996
640.00	0.23613
640.50	0.23401
641.00	0.23255
641.50	0.22752
642.00	0.22989
642.50	0.22343
643.00	0.22187
643.50	0.21932
644.00	0.21840
644.50	0.21522
645.00	0.21290
645.50	0.21166
646.00	0.20661
646.50	0.20895
647.00	0.20526
647.50	0.20228
648.00	0.20229
648.50	0.19870
649.00	0.19242
649.50	0.19080
650.00	0.18959
650.50	0.19072
651.00	0.18597
651.50	0.18520
652.00	0.18404
652.50	0.18208
653.00	0.17813
653.50	0.17786
654.00	0.17384
654.50	0.17432
655.00	0.17313
655.50	0.16853
656.00	0.16962
656.50	0.16675
657.00	0.16599
657.50	0.16007
658.00	0.16454
658.50	0.16134
659.00	0.15905
659.50	0.15366
660.00	0.15520
660.50	0.15353
661.00	0.15119
661.50	0.15032
662.00	0.14749
662.50	0.14293
663.00	0.14443
663.50	0.14479
664.00	0.14314
664.50	0.14063
665.00	0.13743
665.50	0.13696
666.00	0.13699
666.50	0.13533
667.00	0.13366
667.50	0.13241
668.00	0.13115
668.50	0.12980
669.00	0.12807
669.50	0.12696
670.00	0.12748
670.50	0.12474
671.00	0.12100
671.50	0.12295
672.00	0.12175
672.50	0.11788
673.00	0.11921
673.50	0.11718
674.00	0.11554
674.50	0.11472
675.00	0.11258
675.50	0.11147
676.00	0.11097
676.50	0.10945
677.00	0.10840
677.50	0.10616
678.00	0.10649
678.50	0.10553
679.00	0.10185
679.50	0.10346
680.00	0.10287
680.50	0.098839
681.00	0.099392
681.50	0.099279
682.00	0.096628
682.50	0.096086
683.00	0.095158
683.50	0.091565
684.00	0.093589
684.50	0.094690
685.00	0.091142
685.50	0.089782
686.00	0.088408
686.50	0.087754
687.00	0.087121
687.50	0.084928
688.00	0.084492
688.50	0.084656
689.00	0.084237
689.50	0.081210
690.00	0.084855
690.50	0.079573
691.00	0.079289
691.50	0.080581
