Wavelength (nm)	O03 abs N
352.00	0.45180
352.25	0.44809
352.50	0.44585
352.75	0.43726
353.00	0.43424
353.25	0.43010
353.50	0.41984
353.75	0.41423
354.00	0.40808
354.25	0.40395
354.50	0.39815
354.75	0.39036
355.00	0.38529
355.25	0.37591
355.50	0.37113
355.75	0.36017
356.00	0.35334
356.25	0.35190
356.50	0.34797
356.75	0.33816
357.00	0.32936
357.25	0.32819
357.50	0.31829
357.75	0.31416
358.00	0.30848
358.25	0.30221
358.50	0.29371
358.75	0.28892
359.00	0.28612
359.25	0.28141
359.50	0.27001
359.75	0.26612
360.00	0.26231
360.25	0.25723
360.50	0.24378
360.75	0.24565
361.00	0.24063
361.25	0.22900
361.50	0.23021
361.75	0.22273
362.00	0.21373
362.25	0.21270
362.50	0.20353
362.75	0.19870
363.00	0.19480
363.25	0.18643
363.50	0.18177
363.75	0.17656
364.00	0.17202
364.25	0.17089
364.50	0.15964
364.75	0.15809
365.00	0.15406
365.25	0.14397
365.50	0.14359
365.75	0.13759
366.00	0.13620
366.25	0.13027
366.50	0.12360
366.75	0.11997
367.00	0.11648
367.25	0.11527
367.50	0.10593
367.75	0.10473
368.00	0.10145
368.25	0.098075
368.50	0.094704
368.75	0.091451
369.00	0.088126
369.25	0.082656
369.50	0.080093
369.75	0.077195
370.00	0.074496
370.25	0.069063
370.50	0.069508
370.75	0.066719
371.00	0.064511
371.25	0.062657
371.50	0.060413
371.75	0.056806
372.00	0.052290
372.25	0.051663
372.50	0.047329
372.75	0.049028
373.00	0.045794
373.25	0.041996
373.50	0.043777
373.75	0.041478
374.00	0.038225
374.25	0.037989
374.50	0.038043
374.75	0.036717
375.00	0.037625
375.25	0.038407
375.50	0.033764
375.75	0.032928
376.00	0.032010
376.25	0.028367
376.50	0.029866
376.75	0.025359
377.00	0.023687
377.25	0.019789
377.50	0.023487
377.75	0.025068
378.00	0.020071
378.25	0.019544
378.50	0.018472
378.75	0.017309
379.00	0.016936
379.25	0.017445
379.50	0.011666
379.75	0.017064
380.00	0.015355
380.25	0.017627
380.50	0.012875
380.75	0.011794
381.00	0.012357
381.25	0.011067
381.50	0.013220
381.75	0.011585
382.00	0.013584
382.25	0.010086
382.50	0.011121
382.75	0.0090134
383.00	0.0081956
383.25	0.010413
383.50	0.0098584
383.75	0.0094767
