Wavelength (nm)	T05 abs N
755.00	0.00039386
756.00	0.00052208
757.00	0.00034532
758.00	0.00050376
759.00	0.00038020
760.00	0.00036450
761.00	0.00042150
762.00	0.00058763
763.00	0.00055039
764.00	0.00050091
765.00	0.00052626
766.00	0.00081764
767.00	0.00022641
768.00	0.00061307
769.00	0.00049064
770.00	0.00022662
771.00	0.00095511
772.00	0.00035599
773.00	0.00025853
774.00	0.00010526
775.00	0.0010033
776.00	0.00017471
777.00	0.00085662
778.00	0.00026078
779.00	0.00034983
780.00	0.00022559
781.00	0.00016589
782.00	0.00012577
783.00	0.00021677
784.00	0.00062579
785.00	0.00021390
786.00	0.00038502
787.00	0.00015809
788.00	0.00044473
789.00	0.00053285
790.00	0.00025104
791.00	0.00039979
792.00	0.00069330
793.00	0.00055234
794.00	0.00086842
795.00	0.00062374
796.00	0.00020118
797.00	0.00024611
798.00	0.00038902
799.00	0.00025401
800.00	0.00023595
