Wavelength (nm)	D03 abs N
354.25	0.00075944
354.50	0.0016314
354.75	0.0016080
355.00	0.0070547
355.25	0.0028453
355.50	0.00080474
355.75	0.0019801
356.00	0.0033692
356.25	0.0015038
356.50	0.0011475
356.75	0.0031238
357.00	-0.0017355
357.25	0.0042721
357.50	-0.0016012
357.75	-0.0012162
358.00	0.0016004
358.25	0.00024157
358.50	0.0051545
358.75	0.0026158
359.00	0.0035730
359.25	0.00046880
359.50	0.0030068
359.75	0.0021719
360.00	-0.00025516
360.25	0.0018986
360.50	-0.00049220
360.75	0.0023349
361.00	0.00085834
361.25	0.0024829
361.50	0.0041452
361.75	0.0035481
362.00	0.00047484
362.25	0.0034160
362.50	0.0020224
362.75	0.0015612
363.00	0.0015785
363.25	0.0018141
363.50	0.0017529
363.75	0.00068471
364.00	0.0054067
364.25	0.00032537
364.50	-0.00011928
364.75	-4.3785e-05
365.00	0.00044011
365.25	0.0028604
365.50	0.00014192
365.75	0.0022466
366.00	-0.0015763
366.25	0.0020496
366.50	-0.00047560
366.75	0.0029540
367.00	0.0019545
367.25	0.0013815
367.50	-0.0013007
367.75	0.0021251
368.00	0.0029638
368.25	0.00086588
368.50	-0.00013890
368.75	0.0024293
369.00	0.0027033
369.25	0.0020375
369.50	0.00029291
369.75	0.0017605
370.00	0.0011663
370.25	-0.00062356
370.50	0.0035964
370.75	-0.00048390
371.00	0.0035254
371.25	0.0014245
371.50	0.0025146
371.75	0.0020073
372.00	0.0023674
372.25	0.0032922
372.50	0.0022074
372.75	0.0025644
373.00	0.0014041
373.25	0.0031208
373.50	0.0027290
373.75	0.00095119
374.00	0.0026460
374.25	0.0035798
374.50	0.0024474
374.75	0.00083720
375.00	0.0012230
375.25	0.0019703
375.50	0.0029419
375.75	0.0015272
376.00	0.0015491
376.25	0.0027033
376.50	0.0017053
376.75	0.0022428
377.00	0.0010727
377.25	-0.00053750
377.50	0.0041316
377.75	0.0022406
378.00	0.0027162
378.25	0.0011943
378.50	-0.00020685
378.75	0.0028838
379.00	0.0020307
379.25	0.0011112
379.50	-0.00012230
379.75	0.0024754
380.00	0.0023463
380.25	0.0013317
380.50	0.0023010
380.75	0.00084097
381.00	0.0051364
381.25	0.0027569
381.50	0.0017393
381.75	-0.00020156
382.00	0.0024874
382.25	-0.00085305
382.50	0.0013430
382.75	0.0015687
383.00	-0.00083720
383.25	-0.00087041
383.50	0.00065602
383.75	0.0032809
384.00	0.0014577
384.25	0.0035594
384.50	0.0016986
384.75	0.0017559
385.00	0.0041679
385.25	0.0043362
385.50	0.0028747
385.75	-0.00044540
386.00	0.00033367
386.25	0.00047333
386.50	0.0056113
386.75	0.0021802
387.00	0.0033948
387.25	0.0018050
387.50	0.0011210
387.75	0.0023312
388.00	0.0023870
388.25	0.0045785
388.50	0.0053833
388.75	0.0026294
389.00	0.0033065
389.25	0.00079945
389.50	-0.00069150
389.75	0.0015106
390.00	0.0019431
390.25	0.0030725
390.50	0.0035013
390.75	0.0016699
391.00	0.0032499
391.25	0.00024384
391.50	0.0027343
391.75	0.0024135
392.00	0.0034031
392.25	0.0021840
392.50	0.0018118
392.75	0.00091948
393.00	0.0023991
393.25	0.0031253
393.50	0.0018835
393.75	-0.00069376
394.00	0.0034122
394.25	0.0024384
394.50	0.0038493
394.75	0.0039746
395.00	0.0024723
395.25	-0.00021213
395.50	7.4736e-05
395.75	0.0029374
396.00	0.0016140
396.25	0.0027434
396.50	0.0016578
396.75	0.0024459
397.00	-0.00079115
397.25	0.0010040
397.50	0.00095723
397.75	0.0020088
398.00	0.0012290
398.25	0.0017801
398.50	0.0029079
398.75	0.00021138
399.00	0.0019122
399.25	0.0022406
399.50	0.0010765
399.75	0.0030657
400.00	0.0022247
