,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
193,1059.19,Maleimide,594-03,C45H50N6O16S4,594,615,(in PBS),DY-594,"92,000"
196,992.18,Carboxylic acid,605-00,C43H53N5O14S4,600,624,(in PBS),DY-605,"110,000"
197,1111.22,NHS-ester,605-01,C47H55N6O16S4 * Na,600,624,(in PBS),DY-605,"110,000"
198,1034.25,Amino-derivative,605-02,C45H59N7O13S4,600,624,(in PBS),DY-605,"110,000"
199,1136.27,Maleimide,605-03,C49H58N7O15S4 * Na,600,624,(in PBS),DY-605,"110,000"
206,667.76,Carboxylic acid,610-00,C32H42N3O9S * Na,610,632,(in Ethanol),DY-610,"80,000"
207,764.82,NHS-ester,610-01,C36H45N4O11S * Na,610,632,(in Ethanol),DY-610,"80,000"
208,687.86,Amino-derivative,610-02,C34H49N5O8S,610,632,(in Ethanol),DY-610,"80,000"
209,789.89,Maleimide,610-03,C38H48N5O10S * Na,610,632,(in Ethanol),DY-610,"80,000"
212,578.73,Carboxylic acid,615-00,C32H38N2O6S,623,643,(in Ethanol),DY-615,"200,000"
213,675.80,NHS-ester,615-01,C36H41N3O8S,623,643,(in Ethanol),DY-615,"200,000"
214,734.83,Amino-derivative,615-02,C34H45N4O5S * C2F3O2,623,643,(in Ethanol),DY-615,"200,000"
215,700.86,Maleimide,615-03,C38H44N4O7S,623,643,(in Ethanol),DY-615,"200,000"
218,634.84,Carboxylic acid,630-00,C36H46N2O6S,638,658,(in Ethanol),DY-630,"200,000"
219,731.92,NHS-ester,630-01,C40H49N3O8S,638,658,(in Ethanol),DY-630,"200,000"
220,790.93,Amino-derivative,630-02,C38H53N4O5S * C2F3O2,638,658,(in Ethanol),DY-630,"200,000"
221,756.97,Maleimide,630-03,C42H52N4O7S,638,658,(in Ethanol),DY-630,"200,000"
224,736.88,Carboxylic acid,631-00,C36H45N2O9S2 * Na,637,657,(in Ethanol),DY-631,"200,000"
225,833.95,NHS-ester,631-01,C40H48N3O11S2 * Na,637,657,(in Ethanol),DY-631,"200,000"
226,756.99,Amino-derivative,631-02,C38H52N4O8S2,637,657,(in Ethanol),DY-631,"200,000"
