,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
894,1247.40,Maleimide,703P4-03,C60H79N4O19S2 * Na,704,722,(in Ethanol),DY-703P4,"140,000"
902,1227.32,Carboxylic acid,704P4-00,C54H72N2O21S3 * 2 Na,705,721,(in Ethanol),DY-704P4,"140,000"
903,1324.40,NHS-ester,704P4-01,C58H75N3O23S3 * 2 Na,705,721,(in Ethanol),DY-704P4,"140,000"
904,1247.43,Amino-derivative,704P4-02,C56H79N4O20S3 * Na,705,721,(in Ethanol),DY-704P4,"140,000"
905,1349.45,Maleimide,704P4-03,C60H78N4O22S3 * 2 Na,705,721,(in Ethanol),DY-704P4,"140,000"
909,1087.27,Carboxylic acid,731P4-00,C52H75N2O17S2 * Na,737,754,(in Ethanol),DY-731P4,"220,000"
910,1184.35,NHS-ester,731P4-01,C56H78N3O19S2 * Na,737,754,(in Ethanol),DY-731P4,"220,000"
911,1107.38,Amino-derivative,731P4-02,C54H82N4O16S2,737,754,(in Ethanol),DY-731P4,"220,000"
912,1209.40,Maleimide,731P4-03,C58H81N4O18S2 * Na,737,754,(in Ethanol),DY-731P4,"220,000"
916,1353.56,Carboxylic acid,747P4-00,C63H97N2O24S2 * Na,756,776,(in PBS),DY-747P4,"240,000"
917,1450.64,NHS-ester,747P4-01,C67H100N3O26S2 * Na,756,776,(in PBS),DY-747P4,"240,000"
918,1373.66,Amino-derivative,747P4-02,C65H104N4O23S2,756,776,(in PBS),DY-747P4,"240,000"
919,1475.69,Maleimide,747P4-03,C69H103N4O25S2 * Na,756,776,(in PBS),DY-747P4,"240,000"
923,1087.28,Carboxylic acid,781P4-00,C52H75N2O17S2 * Na,784,795,(in Ethanol),DY-781P4,"170,000"
924,1184.35,NHS-ester,781P4-01,C56H78N3O19S2 * Na,784,795,(in Ethanol),DY-781P4,"170,000"
925,1107.38,Amino-derivative,781P4-02,C54H82N4O16S2,784,795,(in Ethanol),DY-781P4,"170,000"
926,1209.40,Maleimide,781P4-03,C58H81N4O18S2 * Na,784,795,(in Ethanol),DY-781P4,"170,000"
934,1587.77,Carboxylic acid,800P4-00,C72H104N2O28S3 * 2 Na,783,795,(in PBS),DY-800P4,"250,000"
935,1684.84,NHS-ester,800P4-01,C76H107N3O30S3 * 2 Na,783,795,(in PBS),DY-800P4,"250,000"
936,1607.87,Amino-derivative,800P4-02,C74H111N4O27S3 * Na,783,795,(in PBS),DY-800P4,"250,000"
937,1709.89,Maleimide,800P4-03,C78H110N4O29S3 * 2 Na,783,795,(in PBS),DY-800P4,"250,000"
941,697.88,,FatRed-00,C41H51N3O7,656,680,(in Ethanol),FatRed,"95,000"
950,751.94,,Stain01-00,C37H50N3O8S2 * Na,513,580,(in Ethanol),Stain01,"120,000"
952,454.42,Carboxylic acid,344IN-00,C20H19N2O7S * Na,387,549,protonated form at pH 3,DY-344IN,"27,000"
953,551.50,NHS-ester,344IN-01,C24H22N3O9S * Na,387,549,protonated form at pH 3,DY-344IN,"27,000"
954,474.53,Amino-derivative,344IN-02,C22H26N4O6S,387,549,protonated form at pH 3,DY-344IN,"27,000"
955,576.55,Maleimide,344IN-03,C26H25N4O8S * Na,387,549,protonated form at pH 3,DY-344IN,"27,000"
966,564.50,,V02-07027,C28H37N4OS * BF4,477,522,(in Ethanol),V02-07027,"70,000"
974,887.88,,V02-08078,C32H46N5OS * 3 C2F3O2,492,537,(in Ethanol),V02-08078,"90,000"
997,578.48,,V13-01184,C28H35N4O2S * BF4,481,526,(in Ethanol),V13-01184,"80,000"
1008,440.24,,MTD-1,C21H25N2O3 * BF4,485,558,(in Ethanol),MitoDy-1,"62,000"
1022,620.96,,660-SL-00,C43H60N2O,665,0,(in Ethanol),DY-660-SL,"20,000"
1023,559.01,,840-S-00,C32H31N2O·ClO4,840,0,(in Ethanol),DY-840-S,"65,000"
1024,637.09,,660-X,C33H33N2O5·ClO4,662,693,(in Dichloromethane),DY-660-X,"80,000"
1037,516.98,,665-X,C26H29N2O3·ClO4,670,690,(in Dichloromethane),DY-665-X,"80,000"
